ENST00000000233	2b6hA
ENST00000311895	1z00B
ENST00000311907	4o03A
ENST00000311922	6dc0B
ENST00000311956	1am4A
ENST00000311966	4bqmA
ENST00000312134	4n6oB
ENST00000312156	2kz5A
ENST00000312165	6ndjA
ENST00000312196	2y0nA
ENST00000312293	5izqA
ENST00000312358	1u2hA
ENST00000312397	6ahd9
ENST00000312419	6hvoF
ENST00000312428	6rzaX
ENST00000312475	3j9me
ENST00000312499	3mxnB
ENST00000312960	5h9mA
ENST00000313005	3r1gB
ENST00000313117	2hvzA
ENST00000313135	
ENST00000313143	
ENST00000313164	6h03D
ENST00000313244	2efkA
ENST00000313250	3o4rA
ENST00000313368	4rgwB
ENST00000313375	
ENST00000313400	5j67A
ENST00000313401	1unlD
ENST00000313421	5a2eA
ENST00000313468	5xtbB
ENST00000313486	1uw5A
ENST00000313543	3zjcE
ENST00000313601	6d9hA
ENST00000313608	3j9mAS
ENST00000313669	4bj3C
ENST00000313708	3lyrA
ENST00000313733	5zm8A
ENST00000313735	3e7gC
ENST00000313766	5yh3C
ENST00000313899	5im0B
ENST00000314128	2ka4B
ENST00000314133	5z62M
ENST00000314138	4ug0La
ENST00000314167	5y80A
ENST00000314191	5luqA
ENST00000314265	5ki9A
ENST00000314289	4ppeA
ENST00000314332	5gt0D
ENST00000314355	5lqfC
ENST00000314357	1kj6A
ENST00000314358	4c8dA
ENST00000314393	2dmpA
ENST00000314673	4pqoA
ENST00000314759	4aj52
ENST00000314797	1r4xA
ENST00000314830	3t6gA
ENST00000314852	2cqjA
ENST00000314888	2mwnB
ENST00000314922	1plwA
ENST00000314933	5hzfA
ENST00000314980	3zxfB
ENST00000315073	2egmA
ENST00000315082	5kutA
ENST00000315127	3d3kA
ENST00000315212	2qkbA
ENST00000315238	1ggzA
ENST00000315274	1su3B
ENST00000315285	5z6rA
ENST00000315323	6c0bB
ENST00000315423	5h07D
ENST00000315491	5ij0B
ENST00000315596	5hdtA
ENST00000315599	2xr5A
ENST00000315677	5ypoC
ENST00000315732	
ENST00000315758	2dfdA
ENST00000315870	1x4iA
ENST00000315872	4l6qA
ENST00000315927	4boqA
ENST00000315970	3aihA
ENST00000315987	2nz0B
ENST00000316052	6d6qB
ENST00000316059	2m9aA
ENST00000316084	6g18E
ENST00000316099	4iqrA
ENST00000316144	2xstA
ENST00000316157	3pthB
ENST00000316169	5ki9A
ENST00000316218	4i6xA
ENST00000316308	6fyvA
ENST00000316334	5dinB
ENST00000316423	5vr8A
ENST00000316448	6enyG
ENST00000316562	5e26B
ENST00000316586	2xikA
ENST00000316594	6dg1A
ENST00000316623	5ms9A
ENST00000316649	4dohE
ENST00000316694	6fl5A
ENST00000316724	1mv3A
ENST00000316752	2v9kA
ENST00000316757	2yt7A
ENST00000316763	2jiiB
ENST00000316803	3ox6A
ENST00000316881	6flnA
ENST00000316939	3j7yq
ENST00000316963	5symA
ENST00000317012	2djrA
ENST00000317025	5updA
ENST00000317040	
ENST00000317058	3meuA
ENST00000317147	4cqoC
ENST00000317204	2n31A
ENST00000317402	5t9jB
ENST00000317508	3gylB
ENST00000317534	3j9mAC
ENST00000317643	1o7sA
ENST00000317716	
ENST00000317799	5zqzB
ENST00000317905	5lb5C
ENST00000317995	2w2jA
ENST00000318008	3i35A
ENST00000318037	3l11A
ENST00000318063	6agiB
ENST00000318066	5ywrA
ENST00000318080	1nm8A
ENST00000318124	1kj6A
ENST00000318157	1fd3A
ENST00000318222	6du8A
ENST00000318247	5vb3A
ENST00000318312	
ENST00000318348	3rznA
ENST00000318407	6ckvA
ENST00000318602	4acqC
ENST00000318607	4f02A
ENST00000318911	5xteH
ENST00000318950	2dn6A
ENST00000319006	1f05A
ENST00000319023	
ENST00000319070	2ddiA
ENST00000319121	3i3nA
ENST00000319211	3vw7A
ENST00000319273	2b19A
ENST00000319283	4reyA
ENST00000319294	5wdiA
ENST00000319363	5nanB
ENST00000319394	3i7nB
ENST00000319441	1khbA
ENST00000319449	2yqmA
ENST00000319481	5zm6A
ENST00000319555	2xu7D
ENST00000319653	2yleB
ENST00000319715	3ztgA
ENST00000319942	6o60B
ENST00000320152	2jbhA
ENST00000320211	5yz0C
ENST00000320477	2eelA
ENST00000320493	3zd2A
ENST00000320574	5vbnB
ENST00000320585	2yrtA
ENST00000320623	4cf6B
ENST00000320650	2z3qA
ENST00000320676	2mb0B
ENST00000320717	5uqeD
ENST00000320756	5xjcv
ENST00000320785	2g1lA
ENST00000320805	2l76A
ENST00000320816	2lswA
ENST00000320868	1c7cA
ENST00000320876	
ENST00000320892	1wimA
ENST00000321030	5o9zH
ENST00000321037	4lr2A
ENST00000321063	4e74A
ENST00000321105	4cgyA
ENST00000321153	4behB
ENST00000321256	5oobB
ENST00000321265	3qorA
ENST00000321339	1r03A
ENST00000321341	1pj3A
ENST00000321348	5zleA
ENST00000321358	6a6jA
ENST00000321394	6nr8I
ENST00000321424	2n7aA
ENST00000321612	6i35A
ENST00000321617	4is7A
ENST00000321757	2ydyA
ENST00000321764	5ogjA
ENST00000321867	6mnhA
ENST00000321892	2ri7A
ENST00000321919	2uyyA
ENST00000321945	4jluB
ENST00000322002	
ENST00000322048	5xqiA
ENST00000322067	2wefA
ENST00000322088	2ie3A
ENST00000322122	3kb5A
ENST00000322177	6ahrF
ENST00000322203	4ug0Lz
ENST00000322213	
ENST00000322313	6fbsB
ENST00000322342	2x7hA
ENST00000322344	2w3oB
ENST00000322349	1jocA
ENST00000322357	2if5A
ENST00000322396	6pdmA
ENST00000322535	6qx9B2
ENST00000322536	2pl3A
ENST00000322610	5w3rA
ENST00000322623	6fo1A
ENST00000322652	5wg6A
ENST00000322723	2krrA
ENST00000322810	5j1iA
ENST00000322989	5aj0BW
ENST00000323110	4zgxA
ENST00000323274	1ju6A
ENST00000323303	5yf4A
ENST00000323322	1huwA
ENST00000323345	4ug0LG
ENST00000323446	2m76A
ENST00000323469	2gf0B
ENST00000323482	4c78C
ENST00000323563	3j9mAY
ENST00000323646	4q95A
ENST00000323666	1qzyA
ENST00000323760	3op3A
ENST00000323853	6qw65B
ENST00000323927	5a31N
ENST00000323997	2xsxA
ENST00000324000	5bo8A
ENST00000324071	5ufgA
ENST00000324093	3h6nA
ENST00000324103	5edvB
ENST00000324109	1ug1A
ENST00000324331	5mgwA
ENST00000324344	4gbaB
ENST00000324366	4gqbA
ENST00000324432	
ENST00000324439	2k2cA
ENST00000324460	6asyA
ENST00000324501	5fn4B
ENST00000324545	5wchA
ENST00000324557	2pxxA
ENST00000324679	6ao5B
ENST00000324698	2dafA
ENST00000324727	5xawA
ENST00000324787	3j9mAZ
ENST00000324856	1ryuA
ENST00000324862	6qw64A
ENST00000324868	2pidB
ENST00000324871	3ckkA
ENST00000324907	5mpiA
ENST00000324978	6f7hD
ENST00000325006	3gvpA
ENST00000325110	2p8uA
ENST00000325123	5ib2C
ENST00000325167	3htuB
ENST00000325203	4zfgA
ENST00000325307	2eqzA
ENST00000325321	4nfeA
ENST00000325327	2lllA
ENST00000325404	1o4xB
ENST00000325418	2wb8A
ENST00000325455	1sqnB
ENST00000325495	2do0A
ENST00000325542	4l0rA
ENST00000325599	2mnwA
ENST00000325722	6jcsR
ENST00000325748	2dixA
ENST00000325844	3j9mAI
ENST00000325875	4chtB
ENST00000325881	2ettA
ENST00000325888	3v8oA
ENST00000326003	2zckP
ENST00000326010	6ftqA
ENST00000326019	4h87A
ENST00000326047	4bn2A
ENST00000326139	2xdgA
ENST00000326195	5zxdA
ENST00000326245	4wmyA
ENST00000326270	5o0yA
ENST00000326303	3k2iA
ENST00000326317	4mhxA
ENST00000326441	4bhxA
ENST00000326624	2lt7A
ENST00000326637	4yfiC
ENST00000326739	6i0mB
ENST00000326775	2em5A
ENST00000326793	6if3A
ENST00000326873	2wtkC
ENST00000327064	2y1wA
ENST00000327111	2eblA
ENST00000327134	3pcsE
ENST00000327300	2xa6A
ENST00000327304	6d6qG
ENST00000327325	1sl6A
ENST00000327331	2kddA
ENST00000327347	3fd5B
ENST00000327367	1mk2A
ENST00000327428	2nclA
ENST00000327435	4qgnA
ENST00000327443	1va1A
ENST00000327470	2iqcA
ENST00000327490	2dzlA
ENST00000327535	3og6B
ENST00000327536	4q9vA
ENST00000327569	
ENST00000327619	4egcB
ENST00000327697	2ma6A
ENST00000327772	5xtbN
ENST00000327773	1h30A
ENST00000327857	1dfnA
ENST00000327892	5n5nA
ENST00000327968	3iuyA
ENST00000328024	2f9lA
ENST00000328078	6g2uD
ENST00000328089	3f2oA
ENST00000328111	5nrrB
ENST00000328236	6flkB
ENST00000328435	6at5C
ENST00000328458	5f4qA
ENST00000328459	6bq1B
ENST00000328600	2m5vA
ENST00000328619	2n77B
ENST00000328666	5iqzA
ENST00000328827	2jk9B
ENST00000328850	4dylA
ENST00000328908	2gtrB
ENST00000328923	6dk3A
ENST00000328969	4ii1A
ENST00000329106	2reoA
ENST00000329125	1p9aG
ENST00000329138	4avxA
ENST00000329198	3rkqA
ENST00000329203	
ENST00000329251	5jpoA
ENST00000329399	2pktA
ENST00000329402	5wrjF
ENST00000329474	3lk3T
ENST00000329565	1zzaA
ENST00000329582	4dohB
ENST00000329608	5lxfA
ENST00000329654	4wziB
ENST00000329841	5fhzA
ENST00000330029	5xteD
ENST00000330055	
ENST00000330062	5i96A
ENST00000330133	3j9ml
ENST00000330137	4aj5K
ENST00000330149	2cfhC
ENST00000330333	3zksA
ENST00000330377	2h32B
ENST00000330394	5l6pA
ENST00000330436	2p85A
ENST00000330459	3feyC
ENST00000330503	5h1yB
ENST00000330513	2lk2A
ENST00000330540	5yxkA
ENST00000330560	5d1zI
ENST00000330590	4rbxA
ENST00000330651	3gc8A
ENST00000330714	5uot0
ENST00000330722	5ki0A
ENST00000330794	6nt5A
ENST00000330843	4d0gC
ENST00000330852	2hxsA
ENST00000330884	1zd1A
ENST00000330899	2lo1A
ENST00000331035	5uv8G
ENST00000331056	3jwrC
ENST00000331079	2fytA
ENST00000331163	3mjgB
ENST00000331200	1q5hA
ENST00000331239	1xcrA
ENST00000331242	2llkA
ENST00000331244	2wz9A
ENST00000331268	2lkmB
ENST00000331314	2yqpA
ENST00000331320	5icnA
ENST00000331334	2mmzA
ENST00000331340	6h0fC
ENST00000331433	2pfiA
ENST00000331442	2rhiB
ENST00000331456	4ztdD
ENST00000331457	2ekiA
ENST00000331479	6o58B
ENST00000331483	4ekzA
ENST00000331491	3av1E
ENST00000331495	4ydhA
ENST00000331588	4jmkA
ENST00000331768	6mbkA
ENST00000331772	3qj4A
ENST00000331782	5mw7A
ENST00000331803	3eueA
ENST00000331817	4xifE
ENST00000331825	5lg8A
ENST00000331886	1tuzA
ENST00000331920	6dmyA
ENST00000332118	5l3qB
ENST00000332303	5wy5B
ENST00000332499	2gd7A
ENST00000332539	6d27A
ENST00000332549	3o4oC
ENST00000332687	
ENST00000332782	2db6A
ENST00000332822	1m4uA
ENST00000332830	2l9sA
ENST00000332836	
ENST00000332896	2o71A
ENST00000332955	5f4vA
ENST00000332981	3txoA
ENST00000333082	4ouhB
ENST00000333130	3j9m8
ENST00000333167	2iikB
ENST00000333229	3q2eA
ENST00000333244	4cn0B
ENST00000333274	4l0pB
ENST00000333360	4c16B
ENST00000333461	6b26A
ENST00000333480	4eotA
ENST00000333511	4u0qB
ENST00000333625	3og6A
ENST00000333681	5vauA
ENST00000333762	2lsoA
ENST00000333850	4v06A
ENST00000333891	1ujdA
ENST00000333924	
ENST00000333926	3reeA
ENST00000333999	2xqnA
ENST00000334047	4ylqT
ENST00000334163	2xubA
ENST00000334220	
ENST00000334256	4uaeA
ENST00000334352	2i50A
ENST00000334409	5b8cC
ENST00000334456	3ibjA
ENST00000334463	5jnoB
ENST00000334512	5aizA
ENST00000334513	5lf8A
ENST00000334527	2v66B
ENST00000334529	2aw2A
ENST00000334568	2mocA
ENST00000334575	1pkwA
ENST00000334636	3czhA
ENST00000334660	2e30A
ENST00000334801	4up5A
ENST00000334828	1yjxA
ENST00000334869	4fguA
ENST00000334956	2vzcA
ENST00000335016	4w9wA
ENST00000335044	3nwnA
ENST00000335080	5plkA
ENST00000335181	3gr4A
ENST00000335183	1fq1A
ENST00000335186	2lwlA
ENST00000335255	2c6yA
ENST00000335295	1dxtB
ENST00000335449	5ybyA
ENST00000335479	2lwlA
ENST00000335508	5ifeC
ENST00000335542	6h3eA
ENST00000335647	5zqlB
ENST00000335678	5afpC
ENST00000335715	1z29A
ENST00000335725	6dieB
ENST00000335754	4fo0A
ENST00000335756	3r45A
ENST00000335765	3gqqC
ENST00000335953	1buoA
ENST00000335979	2h57B
ENST00000336023	5ij0A
ENST00000336123	5n92F
ENST00000336174	2wtkB
ENST00000336233	
ENST00000336273	4qmgH
ENST00000336278	2vrfA
ENST00000336283	2mgxA
ENST00000336334	6qfeA
ENST00000336349	5bs7E
ENST00000336498	2mioA
ENST00000336576	2lgwA
ENST00000336596	4twnA
ENST00000336689	3lvqE
ENST00000336751	4ui1C
ENST00000336811	4aohA
ENST00000336812	5xdrA
ENST00000336854	4wzgA
ENST00000336906	1fdhG
ENST00000336915	1u5dA
ENST00000336926	2no2A
ENST00000336934	2psoB
ENST00000336976	2elyA
ENST00000336990	4xzvB
ENST00000337019	6nepA
ENST00000337109	3j7y3
ENST00000337137	2qfzA
ENST00000337147	4rm8B
ENST00000337198	4zgzA
ENST00000337225	2hdlA
ENST00000337227	2qs9A
ENST00000337273	2z5kA
ENST00000337331	5l7kB
ENST00000337338	
ENST00000337491	5y2fA
ENST00000337526	2g31A
ENST00000337532	3lraA
ENST00000337619	4p6zS
ENST00000337620	5t1iB
ENST00000337653	2fy3A
ENST00000337738	2g62A
ENST00000337743	2a8iA
ENST00000337836	3t5oA
ENST00000337907	2yqkA
ENST00000337963	2dasA
ENST00000338008	3t7lA
ENST00000338148	3j7yZ
ENST00000338206	
ENST00000338222	1j8cA
ENST00000338370	3j9mA3
ENST00000338380	2z7fI
ENST00000338415	4ywyA
ENST00000338432	3ff6B
ENST00000338437	6h38A
ENST00000338487	2y96A
ENST00000338492	5nksA
ENST00000338523	4pzgA
ENST00000338560	2f37B
ENST00000338591	6hrlA
ENST00000338595	3q18A
ENST00000338635	1ik9B
ENST00000338641	6cdsA
ENST00000338702	2z5yA
ENST00000338754	3ap2A
ENST00000338784	4zchA
ENST00000338825	6bcuX
ENST00000338883	
ENST00000338910	3sdeA
ENST00000338965	3pv7A
ENST00000338970	4v6xCM
ENST00000339077	3ii7A
ENST00000339276	3lw1A
ENST00000339362	4ui2A
ENST00000339364	5forA
ENST00000339399	2ellA
ENST00000339556	1yurA
ENST00000339562	5y41A
ENST00000339566	3rzvA
ENST00000339582	6bszA
ENST00000339594	1f62A
ENST00000339600	5z62N
ENST00000339686	4f20Q
ENST00000339824	5kkrB
ENST00000340023	
ENST00000340027	3pv6B
ENST00000340093	1ywhA
ENST00000340124	3ihjA
ENST00000340342	3of8A
ENST00000340385	1prxA
ENST00000340398	4z5tA
ENST00000340413	4i79A
ENST00000340417	5fd3A
ENST00000340434	6o60A
ENST00000340438	3kujB
ENST00000340465	5vz4B
ENST00000340473	6o9lT
ENST00000340487	2cotA
ENST00000340533	2i96A
ENST00000340578	2crfA
ENST00000340600	2c9wA
ENST00000340607	4bpmA
ENST00000340611	4ifiB
ENST00000340635	3g58A
ENST00000340827	6j07A
ENST00000340855	5fqlA
ENST00000340857	6n88C
ENST00000340866	1yb5A
ENST00000340913	2lyvA
ENST00000340934	3ulyA
ENST00000340990	5lxgA
ENST00000341010	5bowA
ENST00000341023	5gt3C
ENST00000341068	5a31A
ENST00000341099	1yyeA
ENST00000341105	5o9bA
ENST00000341165	4oleA
ENST00000341285	3u9jA
ENST00000341329	5eppB
ENST00000341376	4awlA
ENST00000341394	4wbeA
ENST00000341420	5cmpC
ENST00000341423	2yrqA
ENST00000341514	2kmvA
ENST00000341516	3i89B
ENST00000341533	4qn9B
ENST00000341584	4c41A
ENST00000341776	6c23E
ENST00000341846	2csvA
ENST00000341861	6eosC
ENST00000341928	6ibeA
ENST00000342085	2r7bA
ENST00000342136	1n6uA
ENST00000342160	5lp8A
ENST00000342166	4rtaA
ENST00000342245	5jg8B
ENST00000342247	5v84A
ENST00000342295	6py8E
ENST00000342376	1b6uA
ENST00000342415	2vy4A
ENST00000342435	1y2aP
ENST00000342505	5l04A
ENST00000342669	1b34B
ENST00000342741	6nn8B
ENST00000342788	2ahxA
ENST00000342932	1qzuA
ENST00000343043	3j9mAX
ENST00000343067	1gg3A
ENST00000343075	3rzgA
ENST00000343217	5y15A
ENST00000343245	4gdkB
ENST00000343257	6qvcA
ENST00000343262	4v6xAC
ENST00000343267	2hzqA
ENST00000343380	2azeB
ENST00000343455	5zakA
ENST00000343484	2lw4A
ENST00000343516	3senA
ENST00000343526	4ybmA
ENST00000343788	1rl1A
ENST00000343823	3tojB
ENST00000343882	2k86A
ENST00000343932	2hi4A
ENST00000343938	4k84A
ENST00000343984	2qagB
ENST00000344051	5h7vA
ENST00000344096	3kvwA
ENST00000344138	5gjhA
ENST00000344204	6d8zB
ENST00000344293	6mzdC
ENST00000344327	5yx9A
ENST00000344337	4b18A
ENST00000344517	4ayxA
ENST00000344595	3l6bA
ENST00000344641	6nu2z
ENST00000344683	3szmC
ENST00000344686	4idtB
ENST00000344733	2ebzA
ENST00000344770	2eeiA
ENST00000344876	
ENST00000344922	5kynC
ENST00000344995	3mazB
ENST00000345003	3u2uA
ENST00000345057	1f2hA
ENST00000345093	2fzpA
ENST00000345097	6nceA
ENST00000345146	6bkxA
ENST00000345254	3eh2A
ENST00000345317	3omhE
ENST00000345330	6a69B
ENST00000345496	4ladA
ENST00000345517	
ENST00000345617	5zooG
ENST00000345732	3pp4P
ENST00000345957	5gw0A
ENST00000345988	4q28A
ENST00000346183	2xrwB
ENST00000346234	3ehqA
ENST00000346299	1zvrA
ENST00000346365	4ickA
ENST00000346798	3nylA
ENST00000346807	4p0lA
ENST00000346991	4nfaA
ENST00000347132	6b8lA
ENST00000347310	5mzvC
ENST00000347486	6gmhM
ENST00000347519	5mk1E
ENST00000347635	2ec1A
ENST00000347755	2of5H
ENST00000347785	2jopA
ENST00000347869	2lkzA
ENST00000348165	
ENST00000348225	2n6fA
ENST00000348403	2dmyA
ENST00000348462	4ug0Lh
ENST00000348513	
ENST00000348544	
ENST00000348849	1x5oA
ENST00000348956	3b6rA
ENST00000349485	4ap5A
ENST00000349533	3v6oA
ENST00000349721	6eg2A
ENST00000349841	2vpkA
ENST00000350119	4mjjA
ENST00000350721	5yz0A
ENST00000350763	6qnvA
ENST00000351050	6n84A
ENST00000351266	1uc6A
ENST00000351298	6u8zA
ENST00000351325	2jo1A
ENST00000351328	5uzpA
ENST00000351513	2vr2A
ENST00000351698	6oifA
ENST00000351870	3n6sA
ENST00000351989	2yt4A
ENST00000352066	5ijnH
ENST00000352078	4gnbA
ENST00000352210	3nksA
ENST00000352480	2nz2A
ENST00000352511	2qluA
ENST00000352983	4ug0LF
ENST00000353047	1gmyB
ENST00000353234	4nl9D
ENST00000353411	3wsoB
ENST00000353609	5vpeA
ENST00000353703	5n10B
ENST00000354181	
ENST00000354185	2m3dA
ENST00000354212	1ueqA
ENST00000354221	3s4eA
ENST00000354234	5tfpA
ENST00000354258	5u1dA
ENST00000354308	5h4zA
ENST00000354336	2lqnA
ENST00000354366	6iehA
ENST00000354371	4d18H
ENST00000354464	5xahC
ENST00000354475	
ENST00000354513	3mjkB
ENST00000354514	6a7uA
ENST00000354546	1m9iA
ENST00000354567	2bwjA
ENST00000354586	2r0bA
ENST00000354611	3al5B
ENST00000354646	5o2cA
ENST00000354650	2dq7X
ENST00000354667	5en1A
ENST00000354694	2ep8A
ENST00000354725	3bdlA
ENST00000354760	3lwkA
ENST00000354785	1fnfA
ENST00000354919	6p0rA
ENST00000354947	2gk9B
ENST00000354952	3q5uB
ENST00000354955	5mx0A
ENST00000354960	3mf0A
ENST00000355029	4xh9D
ENST00000355057	6buzB
ENST00000355058	5njkA
ENST00000355059	5itqA
ENST00000355072	6ez8A
ENST00000355085	6c1qB
ENST00000355112	4o3mA
ENST00000355123	3gf9A
ENST00000355151	3j7yj
ENST00000355192	6qa0A
ENST00000355237	1xawA
ENST00000355295	3rcoA
ENST00000355300	2id5A
ENST00000355305	5a3fC
ENST00000355311	3n50A
ENST00000355349	4p7hA
ENST00000355377	2enpA
ENST00000355395	6a96A
ENST00000355422	
ENST00000355431	2mamA
ENST00000355451	1wgvA
ENST00000355467	2ctdA
ENST00000355502	2qymA
ENST00000355524	1uctA
ENST00000355585	1ufwA
ENST00000355619	4i6jB
ENST00000355621	2z5dA
ENST00000355622	4g8aB
ENST00000355653	
ENST00000355710	4ux8A
ENST00000355716	6ng3A
ENST00000355819	3vppB
ENST00000355832	4cvoA
ENST00000355841	2q3gA
ENST00000355849	5eltB
ENST00000355854	3zhpA
ENST00000355867	2k6mS
ENST00000355899	1aoaA
ENST00000355904	6o9lR
ENST00000355937	6i4yB
ENST00000355962	3dydA
ENST00000355994	1ymmC
ENST00000355995	1jdhB
ENST00000356124	1mj4A
ENST00000356126	5vgzW
ENST00000356140	2wm1A
ENST00000356150	2d8hA
ENST00000356189	3epyA
ENST00000356208	2cqdA
ENST00000356232	6h77A
ENST00000356264	4atmA
ENST00000356286	2lgyA
ENST00000356352	4cemA
ENST00000356357	
ENST00000356388	2jp2A
ENST00000356396	1w6kA
ENST00000356413	4iypA
ENST00000356415	4kvgA
ENST00000356443	2y25A
ENST00000356448	6myeB
ENST00000356455	1i7kA
ENST00000356464	4ug0Sa
ENST00000356476	5kklB
ENST00000356489	2bfdB
ENST00000356495	2ocwA
ENST00000356509	1uiiA
ENST00000356518	1r55A
ENST00000356530	5gt0D
ENST00000356545	4cdkE
ENST00000356607	4bxuA
ENST00000356628	6py8B
ENST00000356661	3bo8C
ENST00000356766	3qirC
ENST00000356798	5e6sA
ENST00000356840	2yhoE
ENST00000356889	3d8bA
ENST00000356924	
ENST00000356950	2cv5D
ENST00000356956	2v5oA
ENST00000356978	3o77A
ENST00000357001	1o8rA
ENST00000357043	2kzuB
ENST00000357103	5lx9A
ENST00000357115	1t77A
ENST00000357137	5x49A
ENST00000357164	2ag4A
ENST00000357179	5gvcA
ENST00000357214	4wijB
ENST00000357246	2ncnA
ENST00000357250	2uurA
ENST00000357276	4mqvB
ENST00000357277	1iq3A
ENST00000357308	2v4mA
ENST00000357360	6gwjB
ENST00000357383	1qfwB
ENST00000357388	4u4pB
ENST00000357396	6avzA
ENST00000357424	2b4nA
ENST00000357428	2uzgA
ENST00000357479	4n6jA
ENST00000357484	4z68E
ENST00000357500	6ahrE
ENST00000357525	1zllA
ENST00000357559	3kufA
ENST00000357607	3sxsA
ENST00000357618	1a6zA
ENST00000357628	5un7A
ENST00000357632	5lweA
ENST00000357641	3pfsA
ENST00000357701	2ednA
ENST00000357731	6dldD
ENST00000357742	2ep6A
ENST00000357849	4d10E
ENST00000357936	3rchA
ENST00000357988	3kv4A
ENST00000358007	3berA
ENST00000358015	1uelA
ENST00000358065	3bo5A
ENST00000358077	6fhbA
ENST00000358127	1k78A
ENST00000358160	6gn5A
ENST00000358173	6fnkA
ENST00000358184	1tzsA
ENST00000358196	2okjA
ENST00000358204	2xqnT
ENST00000358273	1nf1A
ENST00000358301	4xbrA
ENST00000358368	6ff7M
ENST00000358377	3i8cB
ENST00000358385	6b9fB
ENST00000358410	5eayE
ENST00000358432	2x11A
ENST00000358465	3u5nA
ENST00000358495	5jrbK
ENST00000358514	6avoB
ENST00000358540	6h8rA
ENST00000358595	5nj8B
ENST00000358598	5kjzA
ENST00000358625	2gnqA
ENST00000358664	5eyoA
ENST00000358671	5occA
ENST00000358731	5n9gH
ENST00000358739	5kgfC
ENST00000358763	2p0aA
ENST00000358776	2jifA
ENST00000358789	5lpeA
ENST00000358813	2jyoA
ENST00000358834	2pplA
ENST00000358896	4xp7A
ENST00000358901	5c1aK
ENST00000359015	5ulmB
ENST00000359106	
ENST00000359125	6fegA
ENST00000359151	3bdwB
ENST00000359154	5tj7A
ENST00000359171	5a9q5
ENST00000359193	5kgfC
ENST00000359246	3ptrB
ENST00000359263	2dmhA
ENST00000359276	3ihlA
ENST00000359303	5kklB
ENST00000359314	2j7iA
ENST00000359370	1ry7A
ENST00000359428	5disD
ENST00000359429	3qc3A
ENST00000359435	6h3cD
ENST00000359523	6igoC
ENST00000359579	1zuaX
ENST00000359611	5kgfC
ENST00000359650	2eavA
ENST00000359651	2e8pA
ENST00000359653	3zrhA
ENST00000359655	3rc8A
ENST00000359678	3bptA
ENST00000359742	2jilA
ENST00000359759	1bnlA
ENST00000359842	2gl8D
ENST00000359890	2cq4A
ENST00000359943	5lc2A
ENST00000359947	1larA
ENST00000359995	2kn4A
ENST00000360003	4kg9B
ENST00000360004	3pdoB
ENST00000360013	5qqjB
ENST00000360029	6g57A
ENST00000360057	3s4yA
ENST00000360079	1jeqA
ENST00000360085	2dezA
ENST00000360110	3kasA
ENST00000360141	2q87A
ENST00000360184	5nugA
ENST00000360256	3cdzA
ENST00000360270	1e5wA
ENST00000360304	6c6mA
ENST00000360310	5uiyC
ENST00000360314	2creA
ENST00000360356	5ailA
ENST00000360383	4ui9J
ENST00000360403	6cajI
ENST00000360409	2qqlA
ENST00000360467	6mpxA
ENST00000360534	2qt9A
ENST00000360535	2cp0A
ENST00000360541	4d5nA
ENST00000360586	5ogsA
ENST00000360614	2x36C
ENST00000360631	5jzjA
ENST00000360635	4dx8A
ENST00000360689	2de0X
ENST00000360694	3et2B
ENST00000360864	2n04A
ENST00000360876	5k1hB
ENST00000360900	2e5jA
ENST00000360943	5a4pA
ENST00000360957	6dcxD
ENST00000361005	5tp0A
ENST00000361050	
ENST00000361055	2nvuB
ENST00000361070	6cvzA
ENST00000361084	2oilA
ENST00000361125	3pycA
ENST00000361170	3isuA
ENST00000361171	3towA
ENST00000361204	1uklC
ENST00000361226	6if2A
ENST00000361246	5oteA
ENST00000361249	6h03F
ENST00000361256	4rg1A
ENST00000361264	3i7pB
ENST00000361272	4gmjB
ENST00000361283	6eklB
ENST00000361288	1bh9B
ENST00000361297	2kqfA
ENST00000361309	5tz2C
ENST00000361314	2p31A
ENST00000361322	2jamB
ENST00000361335	5xtck
ENST00000361337	1k4sA
ENST00000361367	6gmhQ
ENST00000361384	4b87A
ENST00000361418	5nfdA
ENST00000361436	4v6xCK
ENST00000361439	5hvqC
ENST00000361441	3vowA
ENST00000361445	5h64A
ENST00000361464	5un8A
ENST00000361475	2q3zA
ENST00000361479	3lweA
ENST00000361505	3bgsA
ENST00000361507	2vwfB
ENST00000361523	4ddpA
ENST00000361531	3j7yV
ENST00000361565	6n1zD
ENST00000361575	4ug0Ll
ENST00000361611	5l5wK
ENST00000361627	3eapA
ENST00000361640	2clpA
ENST00000361658	6qavA
ENST00000361669	4xarA
ENST00000361682	4xucA
ENST00000361717	4ym4A
ENST00000361719	3ks9A
ENST00000361727	5y4mA
ENST00000361729	1n4mC
ENST00000361735	5wcjA
ENST00000361739	5z62B
ENST00000361745	4iejA
ENST00000361752	4jvhA
ENST00000361763	1sy6A
ENST00000361794	4l59A
ENST00000361804	
ENST00000361813	2hwyA
ENST00000361842	2lxwA
ENST00000361874	2coyA
ENST00000361972	1wjrA
ENST00000361987	1cnt1
ENST00000362012	
ENST00000362034	3j7yS
ENST00000362057	1uf1A
ENST00000362061	2vayB
ENST00000362089	2oq1B
ENST00000366425	3rfeB
ENST00000366514	6erpF
ENST00000366535	2v40A
ENST00000366542	4jonA
ENST00000366548	3qe9Y
ENST00000366559	5x68B
ENST00000366560	3e04B
ENST00000366574	4jkqA
ENST00000366577	4cczA
ENST00000366607	4apoD
