ENST00000393469 A0/AV/02/swissmodel/41_636_7d10.1.A
ENST00000396365 Q6/PI/73/swissmodel/25_419_6zdx.1.B
ENST00000389703 Q6/PI/I5/swissmodel/1_203_1qh5.1.A
ENST00000382152 Q6/PI/L6/swissmodel/54_250_3dd4.1.A
ENST00000524391 Q6/PI/U1/swissmodel/38_439_2r9r.1.B
ENST00000453514 Q6/PI/Y7/swissmodel/148_481_6lbk.1.A
ENST00000309602 Q6/PJ/G9/swissmodel/15_367_6f2o.1.B
ENST00000282292 Q6/PK/81/swissmodel/144_438_5wjq.1.C
ENST00000335125 Q6/PK/H6/swissmodel/23_215_3o4r.1.A
ENST00000216468 Q6/PL/24/swissmodel/153_324_5lz1.1.A
ENST00000400906 Q6/PX/P3/swissmodel/14_487_4ybq.1.A
ENST00000357872 Q6/Q4/G3/swissmodel/88_990_5lds.1.A
ENST00000542499 Q6/Q7/88/swissmodel/86_316_3s84.1.A
ENST00000398214 Q6/Q8/B3/swissmodel/34_224_4bfg.1.A
ENST00000345068 Q6/QE/F8/swissmodel/7_405_7kyx.1.A
ENST00000278060 Q6/QH/F9/swissmodel/13_511_5mbx.1.A
ENST00000333796 Q6/R6/M4/swissmodel/47_372_4fip.1.A
ENST00000339922 Q6/RS/H7/swissmodel/42_137_4wqo.1.A
ENST00000339917 Q6/SA/08/swissmodel/12_319_5ig1.1.A
ENST00000262188 Q6/ST/E5/swissmodel/100_473_6lth.1.F
ENST00000241463 Q6/T3/10/swissmodel/26_200_2atv.1.A
ENST00000360096 Q6/T3/11/swissmodel/2_181_1moz.1.A
ENST00000371211 Q6/U7/36/swissmodel/31_322_2z73.1.A
ENST00000415922 Q6/U7/Q0/swissmodel/14_290_5wjq.1.C
ENST00000315796 Q6/UB/28/swissmodel/50_334_2g6p.1.A
ENST00000367321 Q6/UB/35/swissmodel/359_978_7c11.1.A
ENST00000279058 Q6/UD/R6/swissmodel/30_91_4bd9.1.B
ENST00000294725 Q6/UV/M3/swissmodel/45_1106_5u76.1.D
ENST00000367963 Q6/UV/Y6/swissmodel/24_577_4zel.1.A
ENST00000267406 Q6/UW/01/swissmodel/68_205_5h48.1.C
ENST00000272324 Q6/UW/15/swissmodel/36_175_1uv0.1.A
ENST00000300954 Q6/UW/60/swissmodel/116_579_4omc.1.A
ENST00000376004 Q6/UW/63/swissmodel/152_482_5ub5.1.A
ENST00000328655 Q6/UW/B4/swissmodel/52_300_1yc0.1.A
ENST00000312442 Q6/UW/M5/swissmodel/27_210_3q2u.1.A
ENST00000341509 Q6/UW/M7/swissmodel/34_508_5cg0.1.A
ENST00000325630 Q6/UW/N8/swissmodel/24_80_2n52.1.A
ENST00000251312 Q6/UW/P2/swissmodel/2_256_1xg5.1.A
ENST00000375500 Q6/UW/Q5/swissmodel/20_147_1lsy.1.A
ENST00000296741 Q6/UW/R7/swissmodel/24_415_5ege.1.A
ENST00000295759 Q6/UW/U2/swissmodel/27_627_3wez.1.A
ENST00000328313 Q6/UW/V6/swissmodel/30_417_5tcd.1.A
ENST00000303334 Q6/UW/W8/swissmodel/32_553_2hrq.2.A
ENST00000343410 Q6/UW/X4/swissmodel/207_618_3ho3.1.A
ENST00000329267 Q6/UW/Y2/swissmodel/34_268_4q7x.1.A
ENST00000321945 Q6/UW/Z7/swissmodel/1_331_6gvw.1.F
ENST00000219022 Q6/UX/06/swissmodel/247_505_4wxu.1.A
ENST00000378895 Q6/UX/07/swissmodel/29_314_3rd5.1.A
ENST00000449549 Q6/UX/72/swissmodel/79_383_6wmm.1.A
ENST00000359228 Q6/UX/B3/swissmodel/22_102_6zze.1.A
ENST00000328853 Q6/UX/B4/swissmodel/114_291_3kqg.1.A
ENST00000341495 Q6/UX/N2/swissmodel/24_129_1hkf.1.A
ENST00000360945 Q6/UX/N7/swissmodel/59_144_1om2.1.A
ENST00000408960 Q6/UX/P3/swissmodel/1_90_2los.1.A
ENST00000465414 Q6/UX/S0/swissmodel/36_126_1uv0.1.A
ENST00000422698 Q6/UX/S9/swissmodel/95_341_3e4c.1.A
ENST00000447459 Q6/UX/U4/swissmodel/2_243_5wel.1.A
ENST00000375352 Q6/UX/Z3/swissmodel/20_128_2nms.1.A
ENST00000357338 Q6/UY/11/swissmodel/12_249_4xbm.2.A
ENST00000368820 Q6/UY/18/swissmodel/29_501_3zyi.1.A
ENST00000285949 Q6/V0/L0/swissmodel/45_511_2ve3.1.A
ENST00000448622 Q6/V9/R5/swissmodel/122_423_5wjq.1.C
ENST00000400230 Q6/XP/S3/swissmodel/207_521_3v0h.1.A
ENST00000228567 Q6/XY/Q8/swissmodel/229_504_3hn8.1.A
ENST00000344577 Q6/XZ/B0/swissmodel/38_447_1bu8.1.A
ENST00000593184 Q6/YF/Q2/swissmodel/10_88_5x1b.1.H
ENST00000287097 Q6/YH/K3/swissmodel/687_1420_5o35.1.B
ENST00000260508 Q6/YP/21/swissmodel/41_449_5veq.1.A
ENST00000533140 Q6/ZM/B0/swissmodel/66_377_7jhi.3.A
ENST00000330475 Q6/ZM/M2/swissmodel/42_313_3vn4.1.A
ENST00000280706 Q6/ZM/R3/swissmodel/2_332_6mv8.1.A
ENST00000334830 Q6/ZM/R5/swissmodel/190_421_2oq5.1.A
ENST00000436261 Q6/ZM/S4/swissmodel/158_462_5v3m.1.C
ENST00000597761 Q6/ZM/V8/swissmodel/170_475_5wjq.1.C
ENST00000355868 Q6/ZM/Y6/swissmodel/88_390_5nnz.1.A
ENST00000359971 Q6/ZM/Y9/swissmodel/176_475_5wjq.1.C
ENST00000445217 Q6/ZN/11/swissmodel/136_398_5v3m.1.C
ENST00000345080 Q6/ZN/17/swissmodel/26_171_3ts2.1.B
ENST00000361362 Q6/ZN/57/swissmodel/101_405_5v3m.1.C
ENST00000370456 Q6/ZN/66/swissmodel/7_582_1f5n.1.A
ENST00000359286 Q6/ZN/79/swissmodel/111_299_5v3m.1.C
ENST00000314529 Q6/ZN/G0/swissmodel/166_420_5wjq.1.C
ENST00000311044 Q6/ZN/H5/swissmodel/105_409_5wjq.1.C
ENST00000243913 Q6/ZN/I0/swissmodel/50_406_3otk.1.A
ENST00000448384 Q6/ZN/Q3/swissmodel/6_285_4u08.1.A
ENST00000339302 Q6/ZQ/V5/swissmodel/24_73_1v65.1.A
ENST00000502986 Q6/ZQ/W0/swissmodel/26_417_6o3i.1.A
ENST00000282538 Q6/ZQ/Y3/swissmodel/30_521_6enz.1.A
ENST00000311202 Q6/ZR/08/swissmodel/241_3090_7kzm.1.P
ENST00000358701 Q6/ZR/P7/swissmodel/61_568_4p2l.1.A
ENST00000328199 Q6/ZS/27/swissmodel/162_422_5wjq.1.C
ENST00000342063 Q6/ZS/72/swissmodel/133_471_6bhc.1.A
ENST00000392993 Q6/ZS/86/swissmodel/20_525_6k78.2.A
ENST00000497933 Q6/ZS/A7/swissmodel/36_246_4cnm.1.A
ENST00000328867 Q6/ZS/I9/swissmodel/23_718_3bow.1.A
ENST00000371790 Q6/ZS/M3/swissmodel/45_459_7ckr.1.A
ENST00000260505 Q6/ZT/98/swissmodel/40_484_4ylr.1.A
ENST00000388975 Q6/ZU/15/swissmodel/50_318_6upr.1.B
ENST00000378619 Q6/ZV/70/swissmodel/5_418_6wq1.1.A
ENST00000339852 Q6/ZV/X7/swissmodel/65_273_2e31.1.A
ENST00000409749 Q6/ZV/Z8/swissmodel/14_355_5lea.1.A
ENST00000441065 Q6/ZW/I9/swissmodel/93_263_2fbe.4.A
ENST00000356291 Q6/ZW/K6/swissmodel/126_438_4igd.1.A
ENST00000378802 Q6/ZW/L3/swissmodel/45_520_6c94.1.A
ENST00000500968 Q7/0E/K9/swissmodel/192_709_3mhs.1.A
ENST00000532404 Q7/0E/L3/swissmodel/38_338_3n3k.1.A
ENST00000329957 Q7/0I/A6/swissmodel/22_209_5b6b.1.C
ENST00000271139 Q7/0I/A8/swissmodel/17_214_5twg.1.A
ENST00000288368 Q7/0Z/35/swissmodel/474_1600_6pcv.1.A
ENST00000394457 Q7/19/I0/swissmodel/28_296_7dme.1.A
ENST00000330964 Q7/1U/M5/swissmodel/2_83_6g4w.1.C
ENST00000523731 Q7/5Q/N2/swissmodel/44_995_7cun.1.G
ENST00000324559 Q7/5V/66/swissmodel/69_874_6qpb.1.A
ENST00000402010 Q7/KZ/I7/swissmodel/46_788_6c9d.1.A
ENST00000221200 Q7/L2/73/swissmodel/175_373_5dzb.1.A
ENST00000445061 Q7/L2/E3/swissmodel/241_1188_5aor.1.A
ENST00000396408 Q7/L2/R6/swissmodel/212_517_5wjq.1.C
ENST00000381854 Q7/L3/B6/swissmodel/36_267_5fwp.1.C
ENST00000319296 Q7/L3/S4/swissmodel/60_316_5wjq.1.C
ENST00000371279 Q7/L3/T8/swissmodel/40_472_5znj.1.B
ENST00000367959 Q7/L5/13/swissmodel/24_262_4w4o.1.C
ENST00000313077 Q7/L5/76/swissmodel/5_1250_4n78.1.A
ENST00000002125 Q7/L5/92/swissmodel/37_417_5ztz.1.A
ENST00000219368 Q7/L5/A8/swissmodel/34_370_4zr1.1.A
ENST00000340116 Q7/L5/Y1/swissmodel/1_440_4a35.1.B
ENST00000366695 Q7/L7/L0/swissmodel/10_123_6k1k.1.G
ENST00000284690 Q7/L7/V1/swissmodel/30_726_6qid.1.A
ENST00000020926 Q7/L8/C5/swissmodel/157_425_2r83.1.A
ENST00000366472 Q7/L8/J4/swissmodel/54_278_6ixv.2.A
ENST00000256538 Q7/L8/W6/swissmodel/1_250_3rk1.1.A
ENST00000361113 Q7/L9/45/swissmodel/99_386_5wjq.1.C
ENST00000379992 Q7/L9/85/swissmodel/26_501_2id5.1.A
ENST00000396051 Q7/L9/L4/swissmodel/15_211_5twg.1.A
ENST00000367134 Q7/LB/E3/swissmodel/4_784_7ch1.1.A
ENST00000370550 Q7/LG/A3/swissmodel/69_354_3f5f.1.C
ENST00000296358 Q7/RT/M1/swissmodel/52_611_6nf4.1.A
ENST00000332836 Q7/RT/R0/swissmodel/94_978_6npy.1.A
ENST00000328801 Q7/RT/S5/swissmodel/83_595_6nf6.1.A
ENST00000331427 Q7/RT/S6/swissmodel/24_561_6nf6.1.A
ENST00000370989 Q7/RT/V2/swissmodel/2_222_2r3x.1.A
ENST00000339381 Q7/RT/X0/swissmodel/26_825_7dd5.1.A
ENST00000333172 Q7/RT/X1/swissmodel/30_830_7m3j.1.A
ENST00000308027 Q7/RT/Y0/swissmodel/10_391_7ckr.1.A
ENST00000442359 Q7/RT/Y3/swissmodel/2_239_3e16.1.A
ENST00000455694 Q7/RT/Y5/swissmodel/28_272_3e16.1.A
ENST00000217926 Q7/Z2/G1/swissmodel/76_166_7k78.1.D
ENST00000324695 Q7/Z2/W7/swissmodel/95_1098_6nr2.1.A
ENST00000334690 Q7/Z3/92/swissmodel/1_696_7b70.1.J
ENST00000506609 Q7/Z3/98/swissmodel/192_422_5v3j.2.C
ENST00000518868 Q7/Z3/D6/swissmodel/297_615_5gl4.3.A
ENST00000319286 Q7/Z3/I7/swissmodel/129_463_5wjq.1.C
ENST00000369340 Q7/Z3/S9/swissmodel/32_219_5uk5.1.A
ENST00000328550 Q7/Z3/V5/swissmodel/136_442_5wjq.1.C
ENST00000332271 Q7/Z3/Z3/swissmodel/114_882_5guh.1.A
ENST00000299001 Q7/Z3/Z4/swissmodel/98_852_5guh.1.A
ENST00000601313 Q7/Z4/06/swissmodel/47_1687_6xe9.1.D
ENST00000259939 Q7/Z4/19/swissmodel/24_229_5tte.1.A
ENST00000338270 Q7/Z4/44/swissmodel/40_204_4dst.1.A
ENST00000332884 Q7/Z4/49/swissmodel/58_544_3czh.1.A
ENST00000251636 Q7/Z4/78/swissmodel/537_1367_5vhd.1.A
ENST00000323468 Q7/Z4/H8/swissmodel/155_485_5ub5.1.A
ENST00000371763 Q7/Z4/J2/swissmodel/29_276_1g8o.1.A
ENST00000342144 Q7/Z4/L0/swissmodel/30_71_2y69.1.L
ENST00000324682 Q7/Z4/L9/swissmodel/25_230_6hkw.1.A
ENST00000331090 Q7/Z4/M0/swissmodel/12_148_6nxf.1.A
ENST00000542188 Q7/Z4/N2/swissmodel/48_1212_6drk.1.A
ENST00000340326 Q7/Z4/S9/swissmodel/48_174_2eo6.1.A
ENST00000392800 Q7/Z4/T8/swissmodel/90_440_6h0b.2.A
ENST00000375318 Q7/Z4/W2/swissmodel/20_147_1lsy.1.A
ENST00000505920 Q7/Z4/Y8/swissmodel/2_94_6zna.15.A
ENST00000426342 Q7/Z5/53/swissmodel/21_736_5oj6.1.B
ENST00000439988 Q7/Z5/53/swissmodel/21_736_5oj6.1.B
ENST00000429665 Q7/Z5/A4/swissmodel/72_292_7meq.1.A
ENST00000423665 Q7/Z5/J1/swissmodel/20_259_1y5r.1.A
ENST00000328739 Q7/Z5/L0/swissmodel/30_201_1vmo.2.A
ENST00000328546 Q7/Z5/P4/swissmodel/30_273_1yb1.1.A
ENST00000376236 Q7/Z5/R6/swissmodel/27_433_6e31.1.A
ENST00000372766 Q7/Z6/W1/swissmodel/71_162_6y07.1.A
ENST00000307221 Q7/Z6/W7/swissmodel/1_233_6u3r.1.A
ENST00000335174 Q7/Z7/13/swissmodel/16_137_6f5e.1.A
ENST00000591022 Q7/Z7/36/swissmodel/205_755_3pzd.1.A
ENST00000369458 Q7/Z7/D3/swissmodel/44_241_4i0k.1.A
ENST00000290208 Q7/Z7/H8/swissmodel/29_240_6ydw.81.A
ENST00000287585 Q7/Z7/J7/swissmodel/12_197_6c14.1.B
ENST00000302017 Q7/Z7/K2/swissmodel/185_566_5wjq.1.C
ENST00000394566 Q7/Z7/L1/swissmodel/5_571_7lre.1.A
ENST00000321702 Q7/Z7/M8/swissmodel/70_397_7jhk.4.A
ENST00000259056 Q7/Z7/M9/swissmodel/399_937_6s22.1.A
ENST00000318357 Q8/6S/G2/swissmodel/108_303_5lec.1.A
ENST00000333017 Q8/6S/G7/swissmodel/37_212_153l.1.A
ENST00000266581 Q8/6S/J2/swissmodel/37_382_2xot.1.A
ENST00000359747 Q8/6S/J6/swissmodel/51_598_7a7d.1.A
ENST00000319540 Q8/6S/K9/swissmodel/38_329_4ymk.1.A
ENST00000367609 Q8/6S/Q4/swissmodel/39_840_6v55.1.A
ENST00000360009 Q8/6S/Q9/swissmodel/2_330_6w2l.1.A
ENST00000318881 Q8/6S/S6/swissmodel/218_490_1dqv.1.A
ENST00000332644 Q8/6T/26/swissmodel/170_415_5ce1.1.A
ENST00000262244 Q8/6T/A1/swissmodel/17_214_5twg.1.A
ENST00000399609 Q8/6T/D4/swissmodel/54_449_5mtv.1.B
ENST00000262960 Q8/6T/I2/swissmodel/18_863_6x6c.1.A
ENST00000334493 Q8/6T/I4/swissmodel/5_344_6g6m.1.A
ENST00000317243 Q8/6T/J5/swissmodel/239_515_5v3m.1.C
ENST00000309469 Q8/6T/L0/swissmodel/91_438_2p82.1.A
ENST00000327968 Q8/6T/M3/swissmodel/164_601_6uv0.1.A
ENST00000311148 Q8/6T/X2/swissmodel/1_410_3hlk.1.A
ENST00000551177 Q8/6U/10/swissmodel/8_364_5dnc.1.A
ENST00000334708 Q8/6U/17/swissmodel/50_420_1yxa.1.A
ENST00000425280 Q8/6U/70/swissmodel/64_282_6tyd.1.A
ENST00000355765 Q8/6U/A1/swissmodel/76_604_6g70.1.A
ENST00000598312 Q8/6U/D4/swissmodel/200_506_5wjq.1.C
ENST00000295057 Q8/6U/E6/swissmodel/39_364_5z8x.1.A
ENST00000272895 Q8/6U/K0/swissmodel/717_2579_5xjy.1.A
ENST00000331238 Q8/6U/N2/swissmodel/24_304_4p8s.1.A
ENST00000335099 Q8/6U/N3/swissmodel/29_310_4p8s.1.A
ENST00000397359 Q8/6U/P0/swissmodel/45_615_3q2w.1.B
ENST00000256861 Q8/6U/X2/swissmodel/54_661_6fpz.1.A
ENST00000298630 Q8/6U/X6/swissmodel/84_447_4fr4.1.A
ENST00000316519 Q8/6V/21/swissmodel/13_670_4wd1.1.A
ENST00000366965 Q8/6V/25/swissmodel/48_301_6jze.1.A
ENST00000216144 Q8/6V/35/swissmodel/27_166_1ytz.1.C
ENST00000360612 Q8/6V/86/swissmodel/35_301_5n4v.1.A
ENST00000232603 Q8/6V/D1/swissmodel/2_538_5of9.1.A
ENST00000512721 Q8/6V/E9/swissmodel/27_417_6sp2.1.A
ENST00000409093 Q8/6V/H4/swissmodel/34_361_5z8y.1.A
ENST00000361320 Q8/6V/H5/swissmodel/34_362_5z8y.1.A
ENST00000333972 Q8/6V/W2/swissmodel/152_490_2rgn.1.B
ENST00000381297 Q8/6V/Z1/swissmodel/21_308_5ndd.1.A
ENST00000330689 Q8/6V/Z2/swissmodel/27_330_2xl2.1.A
ENST00000334194 Q8/6W/10/swissmodel/40_504_6c94.1.A
ENST00000299481 Q8/6W/24/swissmodel/121_1077_6npy.1.A
ENST00000342929 Q8/6W/25/swissmodel/175_1042_6npy.1.A
ENST00000328600 Q8/6W/26/swissmodel/97_588_6npy.1.A
ENST00000291971 Q8/6W/28/swissmodel/148_986_6npy.1.A
ENST00000359904 Q8/6W/34/swissmodel/87_302_2x7m.1.A
ENST00000326266 Q8/6W/42/swissmodel/5_341_7apk.1.E
ENST00000285737 Q8/6W/A8/swissmodel/12_836_7nfy.1.A
ENST00000193322 Q8/6W/C4/swissmodel/73_310_7jm7.1.A
ENST00000330261 Q8/6W/C6/swissmodel/28_150_5leb.1.A
ENST00000337425 Q8/6W/D7/swissmodel/39_416_4x30.1.A
ENST00000542104 Q8/6W/H2/swissmodel/48_185_3ddc.1.B
ENST00000369258 Q8/6W/J1/swissmodel/39_576_3mwy.1.A
ENST00000369864 Q8/6W/K6/swissmodel/29_364_2xot.1.A
ENST00000535833 Q8/6W/K7/swissmodel/30_372_2xot.1.A
ENST00000448696 Q8/6W/N2/swissmodel/24_190_3oq3.1.A
ENST00000398458 Q8/6W/S5/swissmodel/63_320_7meq.1.A
ENST00000355689 Q8/6W/T1/swissmodel/9_660_4uzy.1.A
ENST00000336915 Q8/6W/V1/swissmodel/6_212_1u5e.1.A
ENST00000301981 Q8/6X/40/swissmodel/10_277_4u08.1.A
ENST00000357321 Q8/6X/67/swissmodel/30_345_6o3p.1.A
ENST00000368009 Q8/6X/76/swissmodel/46_320_4h5u.2.A
ENST00000394221 Q8/6X/F0/swissmodel/2_187_3fs6.1.A
ENST00000314228 Q8/6X/F7/swissmodel/53_238_5v3m.1.C
ENST00000369783 Q8/6X/J0/swissmodel/7_259_6lmt.1.A
ENST00000408996 Q8/6X/R7/swissmodel/75_235_2m1w.1.A
ENST00000334289 Q8/6X/S5/swissmodel/11_379_1m1j.1.F
ENST00000333952 Q8/6X/U0/swissmodel/260_566_5wjq.1.C
ENST00000315475 Q8/6Y/25/swissmodel/213_519_5wjq.1.C
ENST00000381375 Q8/6Y/33/swissmodel/219_519_4n14.1.A
ENST00000418389 Q8/6Y/39/swissmodel/2_141_5xtc.1.D
ENST00000419060 Q8/6Y/79/swissmodel/28_209_3nea.1.A
ENST00000371522 Q8/6Y/B7/swissmodel/28_292_2zqr.1.A
ENST00000354619 Q8/6Y/B8/swissmodel/30_464_3ahq.1.A
ENST00000328557 Q8/6Y/C3/swissmodel/31_612_6gff.1.E
ENST00000327581 Q8/6Y/G4/swissmodel/2_418_6fxh.1.D
ENST00000324166 Q8/6Y/J6/swissmodel/1_473_4f4f.1.A
ENST00000331366 Q8/6Y/Q8/swissmodel/20_543_6kxk.1.A
ENST00000440944 Q8/6Y/R5/swissmodel/24_385_3sf4.1.A
ENST00000433363 Q8/6Y/T5/swissmodel/13_562_7jsk.1.A
ENST00000356289 Q8/6Y/T9/swissmodel/27_254_3mj6.1.A
ENST00000266505 Q8/6Y/W0/swissmodel/3_607_3qr0.1.A
ENST00000334221 Q8/6Z/23/swissmodel/108_238_5ybz.1.A
ENST00000389063 Q8/IU/60/swissmodel/7_248_2qkm.1.B
ENST00000378847 Q8/IU/85/swissmodel/22_314_5u6y.1.D
ENST00000329905 Q8/IU/99/swissmodel/35_310_6val.1.A
ENST00000392825 Q8/IU/C8/swissmodel/57_555_6e4q.1.A
ENST00000331128 Q8/IU/E6/swissmodel/10_123_6k1k.1.G
ENST00000259199 Q8/IU/F1/swissmodel/40_377_1nij.1.A
ENST00000324768 Q8/IU/H2/swissmodel/117_286_1xhn.1.A
ENST00000324238 Q8/IU/I8/swissmodel/179_442_6rpx.1.A
ENST00000269503 Q8/IU/K8/swissmodel/89_224_5h48.1.C
ENST00000254868 Q8/IU/N9/swissmodel/123_305_1sl6.5.A
ENST00000519846 Q8/IU/Q0/swissmodel/27_288_3hy5.1.A
ENST00000356721 Q8/IU/Q4/swissmodel/91_282_4i7b.1.A
ENST00000317378 Q8/IU/R0/swissmodel/22_188_2j3w.1.C
ENST00000481646 Q8/IU/R7/swissmodel/33_671_7nsc.1.B
ENST00000370383 Q8/IU/S5/swissmodel/78_357_6i5e.1.A
ENST00000308158 Q8/IU/Z5/swissmodel/32_442_6tor.1.A
ENST00000393946 Q8/IV/01/swissmodel/150_420_3hn8.1.A
ENST00000312390 Q8/IV/04/swissmodel/65_349_3hzj.1.A
ENST00000441843 Q8/IV/20/swissmodel/179_430_6t0y.1.A
ENST00000523898 Q8/IV/48/swissmodel/60_348_1zbh.1.C
ENST00000381480 Q8/IV/53/swissmodel/2_412_6ekk.2.A
ENST00000403687 Q8/IV/61/swissmodel/3_546_4l9m.1.A
ENST00000379936 Q8/IV/77/swissmodel/25_474_7lft.1.A
ENST00000316549 Q8/IV/B4/swissmodel/23_489_6z3y.1.A
ENST00000306910 Q8/IV/C4/swissmodel/128_405_5wjq.1.C
ENST00000409039 Q8/IV/F4/swissmodel/94_4470_7kzm.1.P
ENST00000281317 Q8/IV/H4/swissmodel/73_416_2www.1.A
ENST00000282282 Q8/IV/P9/swissmodel/86_402_5v3j.2.C
ENST00000436784 Q8/IV/S8/swissmodel/29_523_1x3l.1.A
ENST00000336125 Q8/IV/W1/swissmodel/15_156_3lvr.1.A
ENST00000450673 Q8/IV/W1/swissmodel/15_156_3lvr.1.A
ENST00000400405 Q8/IW/03/swissmodel/62_259_5h9m.1.A
ENST00000339986 Q8/IW/36/swissmodel/153_459_5wjq.1.C
ENST00000551404 Q8/IW/41/swissmodel/11_364_4tyh.1.A
ENST00000309957 Q8/IW/45/swissmodel/47_346_6efw.1.B
ENST00000535456 Q8/IW/92/swissmodel/53_630_4mad.1.A
ENST00000270747 Q8/IW/93/swissmodel/352_792_7csp.1.A
ENST00000372325 Q8/IW/L1/swissmodel/105_248_4wuw.1.C
ENST00000419470 Q8/IW/L2/swissmodel/106_248_5fft.1.C
ENST00000268876 Q8/IW/X7/swissmodel/5_924_6qdl.1.A
ENST00000417545 Q8/IW/Z4/swissmodel/6_130_5olm.1.A
ENST00000264499 Q8/IW/Z6/swissmodel/2_715_6vbv.1.F
ENST00000251241 Q8/IX/18/swissmodel/26_695_6fac.1.A
ENST00000269053 Q8/IX/A5/swissmodel/87_215_4yf2.1.A
ENST00000264065 Q8/IX/B1/swissmodel/33_783_5ayl.1.A
ENST00000348616 Q8/IX/H8/swissmodel/55_604_7a7d.1.H
ENST00000315082 Q8/IX/I1/swissmodel/182_579_5ksz.1.A
ENST00000358365 Q8/IX/I2/swissmodel/182_582_5ksz.1.A
ENST00000418596 Q8/IX/S8/swissmodel/7_287_6bq1.1.C
ENST00000440797 Q8/IX/Y8/swissmodel/137_310_1iip.1.A
ENST00000308736 Q8/IY/37/swissmodel/236_1155_6o16.1.A
ENST00000512796 Q8/IY/84/swissmodel/69_395_4red.1.C
ENST00000325385 Q8/IY/B7/swissmodel/49_858_4pmw.1.A
ENST00000340438 Q8/IY/D1/swissmodel/198_625_5lzt.79.A
ENST00000304060 Q8/IY/I8/swissmodel/169_481_5wjq.1.C
ENST00000383832 Q8/IY/J1/swissmodel/11_533_6kxk.5.A
ENST00000543823 Q8/IY/J3/swissmodel/266_556_6ank.2.A
ENST00000267549 Q8/IY/L9/swissmodel/11_304_4xnw.2.A
ENST00000394562 Q8/IY/M2/swissmodel/2_550_7lre.1.A
ENST00000379965 Q8/IY/M9/swissmodel/88_365_4tn3.1.A
ENST00000358296 Q8/IY/N0/swissmodel/202_480_5wjq.1.C
ENST00000552471 Q8/IY/P2/swissmodel/18_241_1g3b.1.A
ENST00000524413 Q8/IY/Q7/swissmodel/229_739_4f4f.1.A
ENST00000275072 Q8/IY/S1/swissmodel/23_427_3ram.1.A
ENST00000359649 Q8/IY/S5/swissmodel/30_221_1b6u.1.A
ENST00000245121 Q8/IY/T4/swissmodel/220_521_6ugd.1.E
ENST00000421025 Q8/IY/X0/swissmodel/155_411_5v3m.1.C
ENST00000343459 Q8/IZ/26/swissmodel/192_498_5wjq.1.C
ENST00000293350 Q8/IZ/83/swissmodel/22_802_6mvu.1.A
ENST00000592502 Q8/IZ/C7/swissmodel/101_417_5v3j.1.C
ENST00000264951 Q8/IZ/H2/swissmodel/3_1179_3pie.1.A
ENST00000331982 Q8/IZ/J0/swissmodel/41_200_3hhc.2.A
ENST00000290691 Q8/IZ/J4/swissmodel/212_472_5cm8.1.A
ENST00000370608 Q8/IZ/K6/swissmodel/36_531_6ayf.1.A
ENST00000325303 Q8/IZ/L9/swissmodel/2_327_4b99.1.A
ENST00000267291 Q8/IZ/P6/swissmodel/91_303_7dvq.1.g
ENST00000376705 Q8/IZ/P7/swissmodel/123_444_5t03.2.A
ENST00000333995 Q8/IZ/T9/swissmodel/64_162_4cpc.1.A
ENST00000327220 Q8/IZ/U0/swissmodel/53_186_4cpc.1.A
ENST00000543214 Q8/IZ/U1/swissmodel/118_331_4cpc.1.C
ENST00000310045 Q8/IZ/U8/swissmodel/53_753_6hzn.1.A
ENST00000240285 Q8/IZ/V5/swissmodel/36_314_5ig2.1.D
ENST00000263094 Q8/IZ/Y2/swissmodel/3_2113_5xjy.1.A
ENST00000360768 Q8/N0/U8/swissmodel/7_176_6wvb.1.A
ENST00000382114 Q8/N0/V4/swissmodel/35_539_5y31.1.B
ENST00000379597 Q8/N0/V5/swissmodel/46_390_3otk.1.A
ENST00000376360 Q8/N0/X4/swissmodel/40_340_5vxc.1.C
ENST00000458128 Q8/N0/Y7/swissmodel/2_244_6h26.1.B
ENST00000371901 Q8/N1/18/swissmodel/37_506_6c94.1.A
ENST00000368808 Q8/N1/19/swissmodel/85_482_1su3.1.A
ENST00000368124 Q8/N1/26/swissmodel/36_319_5zo2.1.B
ENST00000310123 Q8/N1/35/swissmodel/26_531_5y31.1.B
ENST00000394169 Q8/N1/38/swissmodel/1_153_7k0m.1.D
ENST00000392161 Q8/N1/41/swissmodel/197_501_5v3m.1.C
ENST00000332972 Q8/N1/42/swissmodel/27_457_1iwe.1.A
ENST00000578689 Q8/N1/44/swissmodel/2_214_7jjp.1.A
ENST00000306317 Q8/N1/45/swissmodel/38_542_5y31.1.B
ENST00000251377 Q8/N1/49/swissmodel/25_418_6zdx.1.B
ENST00000292377 Q8/N1/58/swissmodel/31_490_6wjl.1.A
ENST00000296597 Q8/N1/83/swissmodel/18_109_6rfq.1.5
ENST00000295452 Q8/N1/C3/swissmodel/63_464_6hug.1.C
ENST00000409448 Q8/N1/E2/swissmodel/22_194_153l.1.A
ENST00000378251 Q8/N1/G4/swissmodel/10_506_6zxg.1.9
ENST00000330891 Q8/N1/M1/swissmodel/2_366_6vx7.1.A
ENST00000542342 Q8/N1/S5/swissmodel/5_341_5tsa.1.A
ENST00000352665 Q8/N1/V2/swissmodel/11_618_6u42.382.A
ENST00000369160 Q8/N2/57/swissmodel/28_126_3x1v.1.F
ENST00000321560 Q8/N2/A8/swissmodel/36_212_4ggj.1.B
ENST00000397463 Q8/N2/G4/swissmodel/23_107_6zss.1.A
