ENST00000322209 A0/A0/24RBG1/swissmodel/9_147_2duk.1.A
ENST00000370456 Q6/ZN/66/swissmodel/7_579_1f5n.1.A
ENST00000610508 Q6/ZN/79/swissmodel/60_299_5wjq.1.C
ENST00000529844 Q6/ZN/B5/swissmodel/2_136_3k77.1.A
ENST00000331256 Q6/ZN/F0/swissmodel/28_434_6hwr.1.B
ENST00000314529 Q6/ZN/G0/swissmodel/116_415_5wjq.1.C
ENST00000331336 Q6/ZN/G9/swissmodel/152_423_4bac.1.A
ENST00000311044 Q6/ZN/H5/swissmodel/103_381_5wjq.1.C
ENST00000537858 Q6/ZN/K6/swissmodel/2_138_4ym4.1.A
ENST00000448384 Q6/ZN/Q3/swissmodel/6_285_4u08.1.A
ENST00000502986 Q6/ZQ/W0/swissmodel/29_419_4pk6.1.B
ENST00000442047 Q6/ZQ/Y2/swissmodel/59_365_4peq.1.B
ENST00000282538 Q6/ZQ/Y3/swissmodel/30_521_6enz.1.A
ENST00000358701 Q6/ZR/P7/swissmodel/54_570_4p2l.1.A
ENST00000328199 Q6/ZS/27/swissmodel/114_411_5wjq.1.C
ENST00000342063 Q6/ZS/72/swissmodel/123_471_6ewx.1.B
ENST00000392993 Q6/ZS/86/swissmodel/20_520_3g25.1.A
ENST00000403205 Q6/ZS/S3/swissmodel/123_350_5v3j.1.C
ENST00000408973 Q6/ZS/T4/swissmodel/2_103_1jzu.1.A
ENST00000388975 Q6/ZU/15/swissmodel/35_313_4z54.1.B
ENST00000623247 Q6/ZU/45/swissmodel/21_279_6inn.2.A
ENST00000378619 Q6/ZV/70/swissmodel/2_418_3e6u.1.A
ENST00000339852 Q6/ZV/X7/swissmodel/65_274_3wso.1.A
ENST00000409749 Q6/ZV/Z8/swissmodel/13_394_5y4d.1.A
ENST00000441065 Q6/ZW/I9/swissmodel/85_263_5hm7.1.A
ENST00000356291 Q6/ZW/K6/swissmodel/133_436_6o1g.1.A
ENST00000378802 Q6/ZW/L3/swissmodel/39_520_6c94.1.A
ENST00000500968 Q7/0E/K9/swissmodel/249_703_4fip.1.A
ENST00000329957 Q7/0I/A6/swissmodel/10_208_5brk.1.A
ENST00000382489 Q7/0Z/44/swissmodel/39_453_6be1.1.E
ENST00000324559 Q7/5V/66/swissmodel/51_874_6qpb.1.B
ENST00000375898 Q7/L2/11/swissmodel/83_319_5g5c.1.A
ENST00000457607 Q7/L2/E3/swissmodel/176_1189_5aor.1.A
ENST00000396408 Q7/L2/R6/swissmodel/212_489_5wjq.1.C
ENST00000381854 Q7/L3/B6/swissmodel/55_267_5fwp.1.C
ENST00000434417 Q7/L3/S4/swissmodel/60_317_5wjq.1.C
ENST00000371279 Q7/L3/T8/swissmodel/40_472_5znj.1.A
ENST00000367959 Q7/L5/13/swissmodel/27_264_5k70.1.A
ENST00000357198 Q7/L5/91/swissmodel/61_312_1qqg.1.A
ENST00000002125 Q7/L5/92/swissmodel/39_411_5zzw.3.A
ENST00000366695 Q7/L7/L0/swissmodel/10_122_5kgf.1.C
ENST00000284690 Q7/L7/V1/swissmodel/32_729_5d0u.1.A
ENST00000366472 Q7/L8/J4/swissmodel/54_282_6ixv.2.A
ENST00000338352 Q7/L8/S5/swissmodel/110_275_3tmp.2.A
ENST00000256538 Q7/L8/W6/swissmodel/1_250_3rk1.1.A
ENST00000361113 Q7/L9/45/swissmodel/99_386_5wjq.1.C
ENST00000379992 Q7/L9/85/swissmodel/27_502_2id5.1.B
ENST00000396051 Q7/L9/L4/swissmodel/23_213_5b6b.1.C
ENST00000377494 Q7/LD/G7/swissmodel/7_550_4l9m.1.A
ENST00000370550 Q7/LG/A3/swissmodel/69_354_3f5f.1.A
ENST00000370989 Q7/RT/V2/swissmodel/2_222_2r3x.1.A
ENST00000339381 Q7/RT/X0/swissmodel/27_824_6n52.1.A
ENST00000333172 Q7/RT/X1/swissmodel/32_822_6n52.1.A
ENST00000456354 Q7/RT/X7/swissmodel/81_367_5gjw.1.A
ENST00000442359 Q7/RT/Y3/swissmodel/4_235_3dfj.1.A
ENST00000455694 Q7/RT/Y5/swissmodel/28_270_3dfj.1.A
ENST00000529559 Q7/RT/Z2/swissmodel/48_372_4fip.1.A
ENST00000217926 Q7/Z2/G1/swissmodel/75_168_2nqb.1.F
ENST00000334994 Q7/Z2/Q7/swissmodel/32_405_4qdh.1.A
ENST00000324695 Q7/Z2/W7/swissmodel/104_1104_6o77.1.A
ENST00000457177 Q7/Z3/98/swissmodel/150_422_5wjq.1.C
ENST00000301190 Q7/Z3/H0/swissmodel/95_383_4rly.1.A
ENST00000319286 Q7/Z3/I7/swissmodel/129_435_5wjq.1.C
ENST00000586184 Q7/Z3/S7/swissmodel/72_1109_6jp5.1.C
ENST00000362074 Q7/Z3/S9/swissmodel/28_219_5uk5.1.A
ENST00000360358 Q7/Z3/T1/swissmodel/24_308_2ydo.1.A
ENST00000616349 Q7/Z3/Z3/swissmodel/103_882_5guh.1.A
ENST00000299001 Q7/Z3/Z4/swissmodel/84_852_5guh.1.A
ENST00000259939 Q7/Z4/19/swissmodel/25_235_4k7d.2.A
ENST00000636362 Q7/Z4/44/swissmodel/39_203_5usj.2.A
ENST00000332884 Q7/Z4/49/swissmodel/58_544_3czh.1.A
ENST00000334379 Q7/Z4/G4/swissmodel/9_415_5e71.1.A
ENST00000323468 Q7/Z4/H8/swissmodel/155_486_5l0r.1.A
ENST00000342144 Q7/Z4/L0/swissmodel/29_72_5z62.1.M
ENST00000522909 Q7/Z4/L9/swissmodel/25_231_6hkw.1.A
ENST00000331090 Q7/Z4/M0/swissmodel/16_150_6hfg.1.A
ENST00000542188 Q7/Z4/N2/swissmodel/48_1197_6bcj.1.A
ENST00000272224 Q7/Z4/P5/swissmodel/86_450_5hly.1.A
ENST00000431418 Q7/Z4/T8/swissmodel/57_441_6pxu.1.A
ENST00000375318 Q7/Z4/W2/swissmodel/20_147_6d9i.2.A
ENST00000399232 Q7/Z5/53/swissmodel/21_736_5oj6.1.D
ENST00000328739 Q7/Z5/L0/swissmodel/28_201_1vmo.1.A
ENST00000395871 Q7/Z5/L7/swissmodel/70_589_2a0z.1.A
ENST00000328546 Q7/Z5/P4/swissmodel/30_273_1yb1.1.A
ENST00000331593 Q7/Z5/Y6/swissmodel/30_402_5vqf.2.A
ENST00000335666 Q7/Z6/01/swissmodel/158_432_6osa.1.A
ENST00000274963 Q7/Z6/J4/swissmodel/100_640_4gzu.1.A
ENST00000417257 Q7/Z6/J6/swissmodel/14_347_1e5w.1.A
ENST00000394125 Q7/Z6/M1/swissmodel/28_310_5gqt.1.A
ENST00000307221 Q7/Z6/W7/swissmodel/1_225_6u3r.1.A
ENST00000597664 Q7/Z6/Z6/swissmodel/7_254_5fya.1.B
ENST00000335174 Q7/Z7/13/swissmodel/2_145_5hry.1.A
ENST00000591022 Q7/Z7/36/swissmodel/203_756_3au4.1.A
ENST00000421832 Q7/Z7/A3/swissmodel/5_337_5ztb.1.B
ENST00000494547 Q7/Z7/C8/swissmodel/28_229_6mzc.1.F
ENST00000290208 Q7/Z7/H8/swissmodel/29_240_6gb2.1.X
ENST00000302017 Q7/Z7/K2/swissmodel/215_567_5v3j.2.C
ENST00000259056 Q7/Z7/M9/swissmodel/426_936_6h0b.2.A
ENST00000318357 Q8/6S/G2/swissmodel/108_302_5lel.1.A
ENST00000268766 Q8/6S/G6/swissmodel/307_688_5t94.1.A
ENST00000409238 Q8/6S/G7/swissmodel/39_212_1gbs.1.A
ENST00000266581 Q8/6S/J2/swissmodel/41_388_2xot.1.B
ENST00000359747 Q8/6S/J6/swissmodel/50_597_5erd.1.A
ENST00000319540 Q8/6S/K9/swissmodel/46_329_4ymk.1.A
ENST00000389832 Q8/6S/M8/swissmodel/21_295_5o9h.1.A
ENST00000360009 Q8/6S/Q9/swissmodel/10_257_6ime.1.A
ENST00000318881 Q8/6S/S6/swissmodel/219_490_2r83.1.A
ENST00000332644 Q8/6T/26/swissmodel/185_416_2oq5.1.A
ENST00000262244 Q8/6T/A1/swissmodel/12_215_5brk.1.A
ENST00000262960 Q8/6T/I2/swissmodel/24_863_6eoo.1.A
ENST00000469830 Q8/6T/I4/swissmodel/5_342_6g6m.1.A
ENST00000317243 Q8/6T/J5/swissmodel/214_487_5wjq.1.C
ENST00000309469 Q8/6T/L0/swissmodel/90_454_2d1i.1.A
ENST00000394546 Q8/6T/N4/swissmodel/27_215_6ede.1.A
ENST00000238561 Q8/6T/W2/swissmodel/65_460_5yjz.1.A
ENST00000311148 Q8/6T/X2/swissmodel/1_410_3hlk.1.A
ENST00000551177 Q8/6U/10/swissmodel/7_364_4r8k.1.A
ENST00000334708 Q8/6U/17/swissmodel/45_421_4x30.1.A
ENST00000556816 Q8/6U/28/swissmodel/49_154_1x0g.1.C
ENST00000267425 Q8/6U/38/swissmodel/57_623_5wzg.1.A
ENST00000373044 Q8/6U/90/swissmodel/62_266_6f89.2.A
ENST00000355765 Q8/6U/A1/swissmodel/76_604_6g70.1.A
ENST00000598312 Q8/6U/D4/swissmodel/144_422_5wjq.1.C
ENST00000437605 Q8/6U/D7/swissmodel/70_235_3qye.1.A
ENST00000417012 Q8/6U/E6/swissmodel/39_363_5z8y.1.A
ENST00000331238 Q8/6U/N2/swissmodel/25_304_4p8s.1.A
ENST00000335099 Q8/6U/N3/swissmodel/29_350_3zyi.1.A
ENST00000397359 Q8/6U/P0/swissmodel/45_622_5erd.1.A
ENST00000354698 Q8/6U/Q0/swissmodel/81_363_5v3j.1.C
ENST00000285805 Q8/6U/V6/swissmodel/1_126_5olm.1.A
ENST00000298630 Q8/6U/X6/swissmodel/84_442_4fr4.1.A
ENST00000392876 Q8/6U/Y8/swissmodel/72_527_5opl.1.A
ENST00000316519 Q8/6V/21/swissmodel/15_669_4wd1.1.A
ENST00000360612 Q8/6V/86/swissmodel/35_309_2j2i.1.A
ENST00000232603 Q8/6V/D1/swissmodel/3_537_5ofa.1.A
ENST00000318596 Q8/6V/D7/swissmodel/29_314_6gci.1.A
ENST00000335211 Q8/6V/F2/swissmodel/307_939_4yh7.1.A
ENST00000361320 Q8/6V/H5/swissmodel/34_362_5z8x.1.A
ENST00000333972 Q8/6V/W2/swissmodel/149_490_2rgn.1.B
ENST00000381297 Q8/6V/Z1/swissmodel/18_308_5ndd.1.A
ENST00000330689 Q8/6V/Z2/swissmodel/29_329_4cy3.1.A
ENST00000334194 Q8/6W/10/swissmodel/35_504_6c94.1.A
ENST00000612294 Q8/6W/34/swissmodel/88_297_3lmc.1.A
ENST00000520552 Q8/6W/74/swissmodel/11_218_6bo5.1.A
ENST00000285737 Q8/6W/A8/swissmodel/268_837_4ypl.1.F
ENST00000330261 Q8/6W/C6/swissmodel/29_153_5lea.1.A
ENST00000337425 Q8/6W/D7/swissmodel/42_416_4x30.1.A
ENST00000369258 Q8/6W/J1/swissmodel/40_565_5jxr.1.A
ENST00000369864 Q8/6W/K6/swissmodel/29_364_2xot.1.B
ENST00000320431 Q8/6W/K7/swissmodel/29_372_2xot.1.A
ENST00000374296 Q8/6W/K9/swissmodel/27_304_5lxg.1.A
ENST00000448696 Q8/6W/N2/swissmodel/22_188_1au1.1.A
ENST00000356537 Q8/6W/R0/swissmodel/12_134_5h3w.1.B
ENST00000398458 Q8/6W/S5/swissmodel/62_326_1z8g.1.A
ENST00000355689 Q8/6W/T1/swissmodel/9_660_4uzy.1.A
ENST00000361824 Q8/6X/24/swissmodel/11_231_4tzj.1.A
ENST00000301981 Q8/6X/40/swissmodel/10_277_4u08.1.A
ENST00000357321 Q8/6X/67/swissmodel/31_344_6o3p.1.A
ENST00000368009 Q8/6X/76/swissmodel/46_320_4h5u.2.B
ENST00000615984 Q8/6X/A0/swissmodel/3_169_4lec.1.A
ENST00000394221 Q8/6X/F0/swissmodel/2_187_2w3m.2.A
ENST00000415430 Q8/6X/K7/swissmodel/27_231_3jz7.1.B
ENST00000328895 Q8/6X/P6/swissmodel/46_150_2yad.1.A
ENST00000334289 Q8/6X/S5/swissmodel/59_383_1m1j.1.B
ENST00000324941 Q8/6X/T2/swissmodel/47_175_6ign.1.A
ENST00000333149 Q8/6X/T4/swissmodel/127_479_4cg4.1.A
ENST00000598513 Q8/6X/U0/swissmodel/185_482_5v3m.1.C
ENST00000315475 Q8/6Y/25/swissmodel/241_519_5wjq.1.C
ENST00000381375 Q8/6Y/33/swissmodel/213_519_6q6g.1.A
ENST00000418389 Q8/6Y/39/swissmodel/2_141_5xtc.1.D
ENST00000419060 Q8/6Y/79/swissmodel/29_205_3kk0.1.A
ENST00000371522 Q8/6Y/B7/swissmodel/29_292_2zqr.1.A
ENST00000354619 Q8/6Y/B8/swissmodel/34_464_3ahr.1.A
ENST00000328557 Q8/6Y/C3/swissmodel/32_625_2a0z.1.A
ENST00000327581 Q8/6Y/G4/swissmodel/2_413_6fxh.1.A
ENST00000369037 Q8/6Y/H6/swissmodel/69_395_3aq0.2.A
ENST00000372546 Q8/6Y/N1/swissmodel/52_184_5jki.1.A
ENST00000356289 Q8/6Y/T9/swissmodel/25_254_3mj9.1.A
ENST00000621500 Q8/6Y/W7/swissmodel/28_130_1qfw.1.B
ENST00000334221 Q8/6Z/23/swissmodel/108_238_5ybz.1.C
ENST00000409237 Q8/IU/C8/swissmodel/39_554_6iwq.2.A
ENST00000331128 Q8/IU/E6/swissmodel/13_121_2pyo.1.I
ENST00000259199 Q8/IU/F1/swissmodel/40_378_1nij.1.A
ENST00000324768 Q8/IU/H2/swissmodel/117_286_1xhn.1.A
ENST00000616198 Q8/IU/H3/swissmodel/24_327_3vf0.1.A
ENST00000585159 Q8/IU/K8/swissmodel/89_224_5h49.1.A
ENST00000519846 Q8/IU/Q0/swissmodel/27_288_3hy5.1.A
ENST00000356721 Q8/IU/Q4/swissmodel/91_282_4i7b.1.A
ENST00000596148 Q8/IU/R0/swissmodel/22_188_2j3w.1.C
ENST00000370383 Q8/IU/S5/swissmodel/59_359_5ai0.1.A
ENST00000308158 Q8/IU/Z5/swissmodel/10_436_5g4i.1.A
ENST00000393946 Q8/IV/01/swissmodel/151_420_3hn8.1.A
ENST00000542590 Q8/IV/04/swissmodel/64_344_3hzj.3.A
ENST00000393977 Q8/IV/13/swissmodel/5_324_6gub.1.B
ENST00000441843 Q8/IV/20/swissmodel/176_429_6dzd.1.A
ENST00000306999 Q8/IV/38/swissmodel/12_268_5le8.1.A
ENST00000244565 Q8/IV/45/swissmodel/101_488_3g5b.1.A
ENST00000381480 Q8/IV/53/swissmodel/2_412_6ekk.2.A
ENST00000402538 Q8/IV/61/swissmodel/6_546_4l9m.1.A
ENST00000379936 Q8/IV/77/swissmodel/23_475_5h3o.1.A
ENST00000306910 Q8/IV/C4/swissmodel/130_405_5v3m.1.C
ENST00000282282 Q8/IV/P9/swissmodel/84_375_5wjq.1.C
ENST00000380916 Q8/IV/Q6/swissmodel/45_256_6bms.1.A
ENST00000436784 Q8/IV/S8/swissmodel/32_522_1x3l.1.A
ENST00000327987 Q8/IV/U1/swissmodel/38_607_3b43.1.A
ENST00000336125 Q8/IV/W1/swissmodel/15_154_3doe.1.A
ENST00000400405 Q8/IW/03/swissmodel/85_259_5h9m.1.B
ENST00000339986 Q8/IW/36/swissmodel/181_459_5wjq.1.C
ENST00000410006 Q8/IW/40/swissmodel/97_241_6ez4.1.A
ENST00000551404 Q8/IW/41/swissmodel/13_455_4m84.1.A
ENST00000309957 Q8/IW/45/swissmodel/48_345_6efw.1.A
ENST00000339772 Q8/IW/92/swissmodel/45_631_4mad.1.A
ENST00000278071 Q8/IW/B1/swissmodel/132_507_4nxt.1.A
ENST00000372325 Q8/IW/L1/swissmodel/104_248_1r13.1.A
ENST00000419470 Q8/IW/L2/swissmodel/106_248_5fft.1.A
ENST00000418658 Q8/IW/V2/swissmodel/314_897_4yh7.1.A
ENST00000396623 Q8/IW/W8/swissmodel/44_464_5yvr.1.A
ENST00000268876 Q8/IW/X7/swissmodel/4_915_4i2w.1.A
ENST00000417545 Q8/IW/Z4/swissmodel/1_130_5olm.1.A
ENST00000251241 Q8/IX/18/swissmodel/26_695_6fac.1.A
ENST00000269053 Q8/IX/A5/swissmodel/87_215_4yf2.1.A
ENST00000264065 Q8/IX/B1/swissmodel/33_783_5ayl.1.A
ENST00000348616 Q8/IX/H8/swissmodel/55_604_5erd.1.B
ENST00000358365 Q8/IX/I2/swissmodel/182_582_5ksz.1.A
ENST00000333127 Q8/IX/L9/swissmodel/42_125_4r8g.1.A
ENST00000431473 Q8/IX/N7/swissmodel/79_302_3vpd.1.A
ENST00000418596 Q8/IX/S8/swissmodel/7_287_6bq1.1.C
ENST00000332780 Q8/IX/V7/swissmodel/10_318_6n3h.1.A
ENST00000440797 Q8/IX/Y8/swissmodel/140_309_5yzg.1.r
ENST00000381883 Q8/IY/26/swissmodel/106_280_5jki.1.A
ENST00000308736 Q8/IY/37/swissmodel/236_1155_6o16.1.A
ENST00000281471 Q8/IY/45/swissmodel/7_254_5zb2.1.A
ENST00000304056 Q8/IY/47/swissmodel/256_593_2woz.1.A
ENST00000326035 Q8/IY/84/swissmodel/70_402_4red.1.B
ENST00000467460 Q8/IY/B4/swissmodel/306_624_2j9q.1.A
ENST00000325385 Q8/IY/B7/swissmodel/46_855_5g06.1.J
ENST00000539253 Q8/IY/D2/swissmodel/10_315_6n3h.1.A
ENST00000616558 Q8/IY/J3/swissmodel/264_556_3hn8.1.A
ENST00000267549 Q8/IY/L9/swissmodel/5_309_5vbl.1.B
ENST00000394562 Q8/IY/M2/swissmodel/12_344_5yd0.2.A
ENST00000379965 Q8/IY/M9/swissmodel/131_496_6fln.1.A
ENST00000547058 Q8/IY/P2/swissmodel/23_241_4wxv.1.A
ENST00000376356 Q8/IY/Q7/swissmodel/226_741_1kl7.1.A
ENST00000374879 Q8/IY/R6/swissmodel/85_276_3b4v.1.C
ENST00000275072 Q8/IY/S1/swissmodel/24_427_3ram.1.A
ENST00000356157 Q8/IY/T4/swissmodel/234_537_6ap1.1.B
ENST00000421025 Q8/IY/X0/swissmodel/113_403_5wjq.1.C
ENST00000300504 Q8/IY/X1/swissmodel/18_335_5tuc.1.A
ENST00000542735 Q8/IY/X4/swissmodel/54_278_3vf0.1.A
ENST00000481661 Q8/IZ/08/swissmodel/101_406_5cxv.1.A
ENST00000343459 Q8/IZ/26/swissmodel/192_498_5wjq.1.C
ENST00000315616 Q8/IZ/73/swissmodel/152_426_2ist.1.A
ENST00000293350 Q8/IZ/83/swissmodel/22_802_6mvu.1.A
ENST00000318110 Q8/IZ/C7/swissmodel/101_389_5v3m.1.C
ENST00000264951 Q8/IZ/H2/swissmodel/3_1179_3pie.3.A
ENST00000331982 Q8/IZ/J0/swissmodel/41_200_3hhc.2.A
ENST00000290691 Q8/IZ/J4/swissmodel/1_472_5cm8.1.A
ENST00000325303 Q8/IZ/L9/swissmodel/2_327_4zsl.1.A
ENST00000359775 Q8/IZ/N3/swissmodel/96_347_6bms.2.A
ENST00000355602 Q8/IZ/N7/swissmodel/33_68_1kj6.1.A
ENST00000335021 Q8/IZ/N7/swissmodel/33_68_1kj6.1.A
ENST00000620215 Q8/IZ/P1/swissmodel/45_342_4p17.1.A
ENST00000376705 Q8/IZ/P7/swissmodel/126_424_5t03.1.A
ENST00000415676 Q8/IZ/S8/swissmodel/37_1067_6jp5.1.C
ENST00000380625 Q8/IZ/T9/swissmodel/64_161_4cpc.1.C
ENST00000362066 Q8/IZ/U0/swissmodel/53_185_4cpc.1.C
ENST00000543214 Q8/IZ/U1/swissmodel/118_331_4cpc.1.C
ENST00000240285 Q8/IZ/V5/swissmodel/36_314_5ig2.1.A
ENST00000382114 Q8/N0/V4/swissmodel/35_539_5y31.1.B
ENST00000495262 Q8/N0/V5/swissmodel/46_390_2gak.1.A
ENST00000538097 Q8/N0/W4/swissmodel/41_599_2wqz.2.A
ENST00000458128 Q8/N0/Y7/swissmodel/2_243_4gpz.1.A
ENST00000379031 Q8/N0/Z8/swissmodel/13_284_1vs3.1.B
ENST00000359236 Q8/N0/Z9/swissmodel/29_408_3laf.1.A
ENST00000371901 Q8/N1/18/swissmodel/37_506_6c93.1.A
ENST00000368808 Q8/N1/19/swissmodel/85_482_1su3.2.A
ENST00000368124 Q8/N1/26/swissmodel/36_320_4fmf.2.B
ENST00000310123 Q8/N1/35/swissmodel/26_531_5y31.1.B
ENST00000392161 Q8/N1/41/swissmodel/167_445_5wjq.1.C
ENST00000332972 Q8/N1/42/swissmodel/27_457_1iwe.1.B
ENST00000578689 Q8/N1/44/swissmodel/2_212_6mhq.1.A
ENST00000306317 Q8/N1/45/swissmodel/48_542_5y31.1.B
ENST00000313472 Q8/N1/46/swissmodel/22_307_4qkx.1.A
ENST00000251377 Q8/N1/49/swissmodel/27_396_6aed.1.A
ENST00000292377 Q8/N1/58/swissmodel/29_489_4ywt.2.A
ENST00000313503 Q8/N1/62/swissmodel/22_307_4qkx.1.A
ENST00000619836 Q8/N1/65/swissmodel/4_335_6eqi.1.C
ENST00000281146 Q8/N1/A6/swissmodel/18_176_4jpq.1.A
ENST00000576892 Q8/N1/B3/swissmodel/17_244_6b3e.2.B
ENST00000295452 Q8/N1/C3/swissmodel/63_465_6hug.1.C
ENST00000308528 Q8/N1/E2/swissmodel/24_194_1gbs.1.A
ENST00000339235 Q8/N1/E6/swissmodel/8_385_6o60.1.C
ENST00000330891 Q8/N1/M1/swissmodel/2_364_6n23.1.D
ENST00000321560 Q8/N2/A8/swissmodel/40_212_4ggj.1.A
ENST00000587427 Q8/N2/G8/swissmodel/43_529_5kod.2.A
ENST00000370575 Q8/N2/H3/swissmodel/35_578_4rep.1.A
ENST00000320740 Q8/N2/H9/swissmodel/40_328_3egb.1.A
ENST00000373130 Q8/N2/I9/swissmodel/30_336_5l2q.4.A
ENST00000376542 Q8/N2/K0/swissmodel/127_393_4zxf.1.A
ENST00000400930 Q8/N2/K1/swissmodel/11_177_3k9o.1.A
ENST00000457714 Q8/N2/Q7/swissmodel/53_653_3be8.1.A
ENST00000262971 Q8/N2/W9/swissmodel/132_406_4fo9.1.A
ENST00000379818 Q8/N3/39/swissmodel/1_61_4mt2.1.A
ENST00000441782 Q8/N3/71/swissmodel/174_416_6f4n.1.A
ENST00000369162 Q8/N3/C0/swissmodel/64_2180_5m52.1.A
ENST00000619929 Q8/N3/E9/swissmodel/55_788_3qr1.1.A
ENST00000405615 Q8/N3/J6/swissmodel/25_319_5zo2.1.B
ENST00000539644 Q8/N3/J9/swissmodel/2_260_5v3j.1.C
ENST00000339732 Q8/N3/T1/swissmodel/144_634_6pxu.1.A
ENST00000218089 Q8/N3/U4/swissmodel/83_1048_4pjw.1.A
ENST00000391749 Q8/N4/23/swissmodel/27_418_6aed.1.A
ENST00000337827 Q8/N4/28/swissmodel/65_557_4d0t.2.A
ENST00000361132 Q8/N4/31/swissmodel/10_449_5wfo.1.C
ENST00000241305 Q8/N4/36/swissmodel/316_721_2nsm.1.A
ENST00000398484 Q8/N4/41/swissmodel/26_365_5xwt.1.A
ENST00000281543 Q8/N4/42/swissmodel/67_663_5j8b.1.w
ENST00000374160 Q8/N4/56/swissmodel/30_238_4u09.1.A
ENST00000397621 Q8/N4/61/swissmodel/89_478_6o60.1.C
ENST00000220772 Q8/N4/74/swissmodel/56_306_5xgp.1.A
ENST00000273077 Q8/N4/90/swissmodel/119_384_1qh5.1.A
ENST00000321535 Q8/N4/B4/swissmodel/15_402_4i6j.1.B
ENST00000315099 Q8/N4/C7/swissmodel/2_265_3c98.1.B
ENST00000170150 Q8/N4/F0/swissmodel/22_429_1bp1.1.A
ENST00000320767 Q8/N4/G2/swissmodel/2_176_1e0s.1.A
ENST00000268919 Q8/N4/N8/swissmodel/147_542_6bbn.1.F
ENST00000408939 Q8/N4/P2/swissmodel/9_660_4uzy.1.A
ENST00000318782 Q8/N4/S7/swissmodel/6_269_5lxg.1.A
ENST00000297770 Q8/N4/T0/swissmodel/37_436_3dgv.3.A
ENST00000378387 Q8/N4/T4/swissmodel/12_334_5fi0.2.A
ENST00000465518 Q8/N4/Z0/swissmodel/4_208_2bcg.1.B
ENST00000263268 Q8/N5/65/swissmodel/34_214_6cmy.1.A
ENST00000302851 Q8/N5/87/swissmodel/196_486_5v3j.2.C
ENST00000263736 Q8/N5/C6/swissmodel/214_993_3bzc.1.A
ENST00000372040 Q8/N5/D6/swissmodel/59_339_3ioh.1.A
ENST00000371421 Q8/N5/I2/swissmodel/5_284_4ll1.1.C
ENST00000312942 Q8/N5/I3/swissmodel/3_256_6sgb.39.A
ENST00000334651 Q8/N5/I4/swissmodel/36_328_3rd5.1.A
ENST00000361738 Q8/N5/J2/swissmodel/111_369_5jkn.1.A
ENST00000551346 Q8/N5/J4/swissmodel/86_218_2nny.1.C
ENST00000297613 Q8/N5/L8/swissmodel/1_138_6ahr.1.F
ENST00000474627 Q8/N5/M1/swissmodel/45_277_2r31.1.A
ENST00000316461 Q8/N5/M4/swissmodel/3_171_1kt1.1.A
ENST00000321510 Q8/N5/S1/swissmodel/90_368_6gci.1.A
ENST00000425534 Q8/N5/X7/swissmodel/1_224_4b6u.1.A
ENST00000261888 Q8/N5/Y8/swissmodel/5_273_4f0d.1.A
ENST00000509167 Q8/N5/Z0/swissmodel/1_425_6d0a.1.A
ENST00000393147 Q8/N6/08/swissmodel/65_783_4wjl.1.A
ENST00000592179 Q8/N6/D5/swissmodel/10_299_5y4f.1.A
ENST00000296387 Q8/N6/F1/swissmodel/4_185_3x29.1.A
ENST00000297873 Q8/N6/F8/swissmodel/24_193_5gm1.1.A
ENST00000311308 Q8/N6/N2/swissmodel/43_226_1ihg.1.A
ENST00000537209 Q8/N6/U8/swissmodel/24_340_3uon.1.A
ENST00000409204 Q8/N6/Y1/swissmodel/67_845_6e6b.1.A
ENST00000493277 Q8/N7/20/swissmodel/209_487_5wjq.1.C
ENST00000379800 Q8/N7/52/swissmodel/9_305_6gzd.1.A
ENST00000359332 Q8/N7/A1/swissmodel/7_338_6do3.1.A
ENST00000336726 Q8/N7/B1/swissmodel/16_239_4tzj.1.A
ENST00000471979 Q8/N7/B6/swissmodel/78_247_6ndu.1.A
ENST00000294818 Q8/N7/C0/swissmodel/24_236_4cnm.1.A
ENST00000512729 Q8/N7/C3/swissmodel/7_383_4cg4.1.A
ENST00000434824 Q8/N7/C7/swissmodel/35_188_3icu.1.A
ENST00000334179 Q8/N7/F7/swissmodel/1_143_2y5b.2.B
ENST00000282670 Q8/N7/M0/swissmodel/74_178_1ygt.1.A
ENST00000323319 Q8/N7/P3/swissmodel/7_185_3x29.1.A
ENST00000296097 Q8/N7/S2/swissmodel/8_118_2n05.1.A
ENST00000379034 Q8/N7/X4/swissmodel/171_397_2wa0.1.A
ENST00000451287 Q8/N8/19/swissmodel/44_399_4rag.1.A
ENST00000270649 Q8/N8/83/swissmodel/202_506_5wjq.1.C
ENST00000397333 Q8/N8/A6/swissmodel/196_633_4c9b.1.A
ENST00000544987 Q8/N8/B7/swissmodel/162_346_5iy8.1.U
ENST00000358582 Q8/N8/C0/swissmodel/16_202_5wjq.1.C
ENST00000323169 Q8/N8/L2/swissmodel/100_378_5wjq.1.C
ENST00000310389 Q8/N8/L6/swissmodel/42_222_4csu.1.J
ENST00000369868 Q8/N8/Q1/swissmodel/16_225_5zle.1.A
ENST00000359232 Q8/N8/R3/swissmodel/2_277_6gci.1.A
ENST00000297161 Q8/N8/U9/swissmodel/254_684_6n29.2.A
ENST00000294671 Q8/N8/V2/swissmodel/7_582_1f5n.1.A
ENST00000369500 Q8/N8/X9/swissmodel/7_360_5eom.6.A
ENST00000285393 Q8/N8/Y2/swissmodel/2_349_3j9v.1.K
ENST00000520584 Q8/N8/Y5/swissmodel/84_198_5v3g.1.C
