TRAJ23 A0A075B6U7
ZNF585A Q6P3V2
ALKBH5 Q6P6C2
HAGHL Q6PII5
RBMS3 Q6XE24
ATP11AUN Q6ZP68
LIMS2 Q7Z4I7
MROH2B Q7Z745
DAAM2 Q86T65
NOP9 Q86U38
CAND1 Q86VP6
KRTAP19-1 Q8IUB9
ARHGEF19 Q8IW93
IFNL2 Q8IZJ0
RGL4 Q8IZJ4
BCL6B Q8N143
HJURP Q8NCD3
IL17RE Q8NFR9
OR56A4 Q8NGH8
GOT1L1 Q8NHS2
MOSMO Q8NHV5
VSTM2A Q8TAG5
SPATA20 Q8TB22
NDNF Q8TB73
CERK Q8TCT0
AGR3 Q8TD06
PSMF1 Q92530
SUSD6 Q92537
E2F7 Q96AV8
PLIN4 Q96Q06
SETDB2 Q96T68
GAL3ST1 Q99999
CFAP300 Q9BRQ4
ZNF692 Q9BU19
SPON2 Q9BUD6
TUBB2B Q9BVA1
TPK1 Q9H3S4
RMND5A Q9H871
RPF1 Q9H9Y2
DYNLRB1 Q9NP97
IL23A Q9NPF7
NRIP3 Q9NQ35
EIF4ENIF1 Q9NRA8
MRPS18A Q9NVS2
THAP1 Q9NVV9
CTSF Q9UBX1
LCMT1 Q9UIC8
BAZ2A Q9UIF9
MYH2 Q9UKX2
FHOD1 Q9Y613
COPG1 Q9Y678
CCDC61 Q9Y6R9
TRGV10 A0A0A0MS01
IGKV1-12 A0A0C4DH73
LBHD2 A0A0U1RRK4
FAM172BP A6NC97
FAM223B A6NKX1
DISP2 A7MBM2
ERVV-1 B6SEH8
KRTAP4-16 G5E9R7
GOLGA8Q H3BV12
FOXN3 O00409
BTN3A3 O00478
DCLK1 O15075
AP1G1 O43747
ZEB2 O60315
OR10H2 O60403
RAMP1 O60894
PLXNA2 O75051
ZNF205 O95201
IFNA6 P05013
POLB P06746
C8orf88 P0DMB2
CBSL P0DN79
CGB7 P0DN87
ITGAM P11215
PIP P12273
INSRR P14616
NQO1 P15559
KITLG P21583
RRM1 P23921
MAPK3 P27361
PSMB5 P28074
CDA P32320
TRHR P34981
GP5 P40197
NAMPT P43490
ABCG1 P45844
ATP5MC3 P48201
CXCR3 P49682
CRISP1 P54107
ARPP19 P56211
HSD17B7 P56937
NANOS2 P60321
POLR2L P62875
CCL7 P80098
MKRN3 Q13064
ARHGEF7 Q14155
IGFBP7 Q16270
CAMK4 Q16566
ATP6V1F Q16864
TMEM176B Q3YBM2
PSMG4 Q5JS54
TPTE2P1 Q5T6R2
TEDDM1 Q5T9Z0
ADAL Q6DHV7
AWAT2 Q6E213
GPAT2 Q6NUI2
LILRA6 Q6PI73
FOXI2 Q6ZQN5
ACOT7L Q6ZUV0
ERMP1 Q7Z2K6
WDR53 Q7Z5U6
PARG Q86W56
MYO18B Q8IUG5
SYT12 Q8IV01
YAF2 Q8IY57
SYTL1 Q8IYJ3
GPR137C Q8N3F9
TSPYL6 Q8N831
TEX45 Q8NA69
TMEM229B Q8NBD8
OR52E4 Q8NGH9
STAG3L4 Q8TBR4
BICD2 Q8TD16
GEMIN6 Q8WXD5
BRF1 Q92994
RNASE6 Q93091
AIDA Q96BJ3
PCMTD1 Q96MG8
GFM1 Q96RP9
CRBN Q96SW2
NEU1 Q99519
TMEM79 Q9BSE2
CPLANE2 Q9BU20
STRA6 Q9BX79
LRRCC1 Q9C099
CST11 Q9H112
PIGM Q9H3S5
SYNPO2L Q9H987
NPHS2 Q9NP85
SCRT2 Q9NQ03
ABCB10 Q9NRK6
CISH Q9NSE2
KLC4 Q9NSK0
USP36 Q9P275
ASH2L Q9UBL3
RGS17 Q9UGC6
EBF1 Q9UH73
ZNF230 Q9UIE0
RNF112 Q9ULX5
AP3M1 Q9Y2T2
IGLJ5 A0A0A0MT86
OR4M2B A0A0X1KG70
GOLGA6L7 A0A1B0GV03
MEIOC A2RUB1
ZNF726 A6NNF4
PATE3 B3GLJ2
PPP5D1 E7EU14
GPR25 O00155
RAB29 O14966
XRCC3 O43542
IDH3B O43837
MMP20 O60882
LRP3 O75074
IGKV1-16 P04430
ASGR1 P07306
RET P07949
CDIPTOSP P0DO92
LCP1 P13796
CD99 P14209
SDHB P21912
IL32 P24001
SHMT1 P34896
MPI P34949
RFC1 P35251
CCR10 P46092
HCAR3 P49019
NUDT2 P50583
NEK3 P51956
SUB1 P53999
MFAP2 P55001
EVA1C P58658
ERVS71-1 P61550
NAA20 P61599
NUTF2 P61970
TFAP4 Q01664
GRIN1 Q05586
CD300C Q08708
KCNAB2 Q13303
PTGR1 Q14914
TCEA2 Q15560
FAM161A Q3B820
MCMDC2 Q4G0Z9
SNAP47 Q5SQN1
AGAP9 Q5VTM2
SYPL2 Q5VXT5
PPP2R2D Q66LE6
PNCK Q6P2M8
CTR9 Q6PD62
WDFY4 Q6ZS81
INTS8 Q75QN2
LINC00596 Q86U02
NLGN4X Q8N0W4
RAB42 Q8N4Z0
TMEM199 Q8N511
OR51S1 Q8NGJ8
OR5C1 Q8NGR4
OR13D1 Q8NGV5
OR5K2 Q8NHB8
CXorf38 Q8TB03
PALLD Q8WX93
NRGN Q92686
TEKT5 Q96M29
TAAR1 Q96RJ0
MPHOSPH9 Q99550
USB1 Q9BQ65
MRPL4 Q9BYD3
WWTR1 Q9GZV5
ZMYND15 Q9H091
NRDE2 Q9H7Z3
GALNT9 Q9HCQ5
EMILIN3 Q9NT22
ADAM22 Q9P0K1
ZFAT Q9P243
SERPINA10 Q9UK55
CFAP92 Q9ULG3
TMCC3 Q9ULS5
FZR1 Q9UM11
PCDHGC3 Q9UN70
SH3GLB1 Q9Y371
HDGFL3 Q9Y3E1
AUP1 Q9Y679
TRBJ2-2P A0A0A0MTA2
POTEB A0A0A6YYL3
IQCM A0A1B0GVH7
SMIM42 A0A5F9ZH02
OR2M5 A3KFT3
CCT8L1P A6NM43
TRPC5OS A6NMA1
PHF20L1 A8MW92
AHRR A9YTQ3
MYO1G B0I1T2
MCRIP1 C9JLW8
PSMD9 O00233
EI24 O14681
TM9SF1 O15321
SART1 O43290
MARCHF6 O60337
PRAMEF10 O60809
LRRN2 O75325
ECI2 O75521
PRSS23 O95084
ANGPTL1 O95841
SOD1 P00441
IGHV1-46 P01743
IGHV3-9 P01782
POLR3D P05423
TRIM49C P0CI26
PNMA6A P0CW24
SCGB1A1 P11684
CPM P14384
MUC1 P15941
ZNF3 P17036
ACVR1B P36896
ETV5 P41161
RPL27A P46776
CCR8 P51685
SUOX P51687
CLCN3 P51790
NDST2 P52849
PTPN5 P54829
SH3BGR P55822
KRTAP10-3 P60369
RPS27A P62979
FBLN2 P98095
FAM3A P98173
FOXO4 P98177
KLRB1 Q12918
QSER1 Q2KHR3
DCAF17 Q5H9S7
FGD3 Q5JSP0
SPOUT1 Q5T280
L1TD1 Q5T7N2
PEAR1 Q5VY43
SPATA31A3 Q5VYP0
CIAPIN1 Q6FI81
PPP4R3A Q6IN85
DENND10P1 Q6NSW5
FAM180B Q6P0A1
DOK6 Q6PKX4
BLOC1S3 Q6QNY0
SHLD3 Q6ZNX1
C4orf50 Q6ZRC1
DHX32 Q7L7V1
GALNTL5 Q7Z4T8
ATG4D Q86TL0
RIMS1 Q86UR5
DEFB106A Q8N104
ARMC10 Q8N2F6
RDH13 Q8NBN7
ZNF526 Q8TF50
ZNF384 Q8TF68
TFAP2B Q92481
APBB2 Q92870
GNPNAT1 Q96EK6
CHFR Q96EP1
RBM33 Q96EV2
VPS50 Q96JG6
FGD4 Q96M96
ZNF75A Q96N20
GPX7 Q96SL4
MIPEP Q99797
PI4K2A Q9BTU6
RNF126 Q9BV68
POLR2J2 Q9GZM3
FAM107B Q9H098
CUEDC2 Q9H467
UCK1 Q9HA47
EPB41L4A Q9HCS5
MANBAL Q9NQG1
SPTBN5 Q9NRC6
GINM1 Q9NU53
CGGBP1 Q9UFW8
SUSD2 Q9UGT4
SPG7 Q9UQ90
RNF6 Q9Y252
MRPS33 Q9Y291
SSUH2 Q9Y2M2
PCDHGB1 Q9Y5G3
OCLM Q9Y5M6
CHCHD2 Q9Y6H1
PCLO Q9Y6V0
TRAJ45 A0A075B6X0
TRAJ41 A0A075B702
LOC101059915 A0A1B0GWI6
ZBTB7C A1YPR0
TMEM210 A6NLX4
MEIS3P2 A8K0S8
CCL24 O00175
ZNF536 O15090
NPHP1 O15259
TNRC18 O15417
ST8SIA5 O15466
PLA2G10 O15496
FGF10 O15520
BUB1 O43683
DOK2 O60496
ZMPSTE24 O75844
PAK3 O75914
CDRT1 O95170
TSPAN15 O95858
WDPCP O95876
SCGB1D1 O95968
IGKV4-1 P06312
FAM246C P0DSO1
ZNF12 P17014
POLR2E P19388
CSRP1 P21291
COL4A5 P29400
PTGER1 P34995
CBX5 P45973
MRPL12 P52815
MAPK12 P53778
CLNS1A P54105
LINC00310 P59036
PRKCE Q02156
ZNF91 Q05481
EML5 Q05BV3
PAK2 Q13177
PTCH1 Q13635
UBE4A Q14139
FCN2 Q15485
TRADD Q15628
KRTAP19-7 Q3SYF9
PXDC1 Q5TGL8
FUT10 Q6P4F1
RSBN1L Q6PCB5
DCUN1D2 Q6PH85
WDR59 Q6PJI9
DPPA3 Q6W0C5
RUFY4 Q6ZNE9
CFAP65 Q6ZU64
CEP68 Q76N32
ZNF804A Q7Z570
FHIP2B Q86V87
HEATR4 Q86WZ0
BAGE5 Q86Y27
IZUMO1 Q8IYV9
RPTOR Q8N122
PACRGL Q8N7B6
MFSD9 Q8NBP5
CLRN3 Q8NCR9
SLC30A7 Q8NEW0
GPR32P1 Q8NGA4
OR5M1 Q8NGP8
OR10D3 Q8NH80
CD200R1 Q8TD46
EDEM1 Q92611
LSM10 Q969L4
MUL1 Q969V5
NXPE3 Q969Y0
NTNG2 Q96CW9
NUS1 Q96E22
POM121 Q96HA1
SERAC1 Q96JX3
KCNS1 Q96KK3
ZDHHC15 Q96MV8
PCNX1 Q96RV3
SCN2A Q99250
PIP5K1A Q99755
TRIR Q9BQ61
POLR3C Q9BUI4
USP26 Q9BXU7
SLC4A5 Q9BY07
ADAM33 Q9BZ11
ABCA2 Q9BZC7
TM6SF1 Q9BZW5
SPRY4 Q9C004
USP44 Q9H0E7
CYP4F30P Q9H0H9
MED28 Q9H204
TP63 Q9H3D4
HRH4 Q9H3N8
ABHD16B Q9H3Z7
MYG1 Q9HB07
DIABLO Q9NR28
TOR4A Q9NXH8
CABP1 Q9NZU7
MED11 Q9P086
DAPK2 Q9UIK4
MINAR1 Q9UPX6
TBC1D3D A0A087WVF3
MYH7B A7E2Y1
ARHGAP32 A7KAX9
UBAP1L F5GYI3
PEX12 O00623
CCS O14618
IFIT3 O14879
FANCG O15287
RRP8 O43159
CLIC3 O95833
LGI1 O95970
DNTT P04053
SERPINB2 P05120
KRT8 P05787
EPRS1 P07814
MYL3 P08590
MYH1 P12882
VEGFA P15692
ADRA2B P18089
ZFP36 P26651
CBLIF P27352
GABRB3 P28472
ALDH4A1 P30038
PRDX2 P32119
PSEN1 P49768
GDI2 P50395
RAB9A P51151
GUCY2F P51841
TMEM33 P57088
PCBP3 P57721
RUNX1 Q01196
SP2 Q02086
NUCB1 Q02818
PPID Q08752
TMED1 Q13445
GTF2H3 Q13889
GK2 Q14410
DMC1 Q14565
EZH2 Q15910
ENOX2 Q16206
PSG3 Q16557
KRTAP13-3 Q3SY46
GVQW3 Q3ZCU0
HSP90AB2P Q58FF8
HSP90AA5P Q58FG0
DENND1B Q6P3S1
CCDC174 Q6PII3
LCN15 Q6UWW0
PATE2 Q6UY27
ZNF793 Q6ZN11
KRBA2 Q6ZNG9
DGLUCY Q7Z3D6
COMMD6 Q7Z4G1
LYZL2 Q7Z4W2
ATP5MGL Q7Z4Y8
ZNF554 Q86TJ5
ZNF410 Q86VK4
COL23A1 Q86Y22
CDC20B Q86Y33
MT-RNR2 Q8IVG9
PIANP Q8IYJ0
CCNQ Q8N1B3
CMTR1 Q8N1G2
AGBL5 Q8NDL9
TSTD1 Q8NFU3
PIGK Q92643
UBE2F Q969M7
MRPL24 Q96A35
RNF185 Q96GF1
WDFY2 Q96P53
TRAPPC9 Q96Q05
FCRL5 Q96RD9
HMCN1 Q96RW7
CEP89 Q96ST8
PRRG4 Q9BZD6
OR2AG1 Q9H205
RIBC2 Q9H4K1
PIF1 Q9H611
CNOT10 Q9H9A5
RC3H2 Q9HBD1
ATP6V0A4 Q9HBG4
MSL2 Q9HCI7
SLAMF7 Q9NQ25
KRT84 Q9NSB2
PDS5B Q9NTI5
TMEM100 Q9NV29
ARGLU1 Q9NWB6
HMG20B Q9P0W2
LRFN1 Q9P244
ZBTB47 Q9UFB7
MLX Q9UH92
NAT8B Q9UHF3
FKBPL Q9UIM3
TSPYL4 Q9UJ04
POLH Q9Y253
YARS2 Q9Y2Z4
SBDS Q9Y3A5
UTP18 Q9Y5J1
PCARE A6NGG8
GLTPD2 A6NH11
OR5B21 A6NL26
TRIM64C A6NLI5
LRRC37A A6NMS7
AURKA O14965
CA12 O43570
ANGPTL7 O43827
SORBS2 O94875
CCN4 O95388
MPIG6B O95866
TNNC2 P02585
VTN P04004
EIF4E P06730
SERPINA6 P08185
CSF1 P09603
TBC1D3H P0C7X1
PRR20G P0DPQ3
ACE P12821
GSPT1 P15170
KCNA4 P22459
STIP1 P31948
RPL9 P32969
HTR6 P50406
POLG P54098
MLLT10 P55197
KRTDAP P60985
RPL26 P61254
ERVK-25 P63136
RPS21 P63220
MRPS22 P82650
MRPS15 P82914
DAB2 P98082
ATP8B2 P98198
HSD52 Q0P140
DBP Q10586
GRM1 Q13255
TTF1 Q15361
SHB Q15464
CFAP100 Q494V2
C8orf34 Q49A92
COLEC12 Q5KU26
SPAG17 Q6Q759
ADGRD1 Q6QNK2
SMARCD3 Q6STE5
NFXL1 Q6ZNB6
ZNF662 Q6ZS27
PNPLA7 Q6ZV29
MIGA2 Q7L4E1
ZSCAN2 Q7Z7L9
LDB1 Q86U70
SNX29P2 Q8IUI4
ANKMY2 Q8IV38
P3H3 Q8IVL6
UBR2 Q8IWV8
WDR17 Q8IZU2
SUMF2 Q8NBJ7
SLC37A3 Q8NCC5
DOCK8 Q8NF50
PXT1 Q8NFP0
SLC26A10 Q8NG04
BAHD1 Q8TBE0
CCER1 Q8TC90
GPR148 Q8TDV2
RHBDD1 Q8TEB9
TSPEAR Q8WU66
ATL1 Q8WXF7
MYLPF Q96A32
ISL2 Q96A47
ISOC1 Q96CN7
NXPE2 Q96DL1
IFT43 Q96FT9
CNDP2 Q96KP4
ZNF597 Q96LX8
C18orf15 Q96N68
PAFAH2 Q99487
HINFP Q9BQA5
MYL10 Q9BUA6
FUNDC2 Q9BWH2
RAB6C Q9H0N0
RAB17 Q9H0T7
ABCG5 Q9H222
SMARCAD1 Q9H4L7
EFCC1 Q9HA90
CDH20 Q9HBT6
BARX1 Q9HBU1
SLCO1B3 Q9NPD5
PAPOLB Q9NRJ5
IRAK4 Q9NWZ3
RNF186 Q9NXI6
SAMD15 Q9P1V8
SIRPG Q9P1W8
CPNE7 Q9UBL6
SMC3 Q9UQE7
INVS Q9Y283
CARHSP1 Q9Y2V2
OR51B4 Q9Y5P0
ARFGEF1 Q9Y6D6
STON1 Q9Y6Q2
FAM169A Q9Y6X4
CTXND1 A0A1B0GTU2
MSANTD5 A0A3B3IT52
GMNC A6NCL1
OR6C74 A6NCV1
METTL15 A6NJ78
UMAD1 C9J7I0
CASK O14936
POLR2D O15514
RNASEH1 O60930
FARP2 O94887
EPN2 O95208
IGHV3-23 P01764
IGHA1 P01876
CD74 P04233
C8G P07360
LYN P07948
MSL3P1 P0C860
POLR2M P0CAP2
SCHIP1 P0DPB3
VAV1 P15498
UGT2B7 P16662
MAN1A1 P33908
FEN1 P39748
BUD31 P41223
PLXNA3 P51805
NXPH1 P58417
RPS23 P62266
RPS4X P62701
FKBP1A P62942
GNGT1 P63211
SUPT4H1 P63272
FKBP3 Q00688
CGNL1 Q0VF96
SF3B2 Q13435
NAB1 Q13506
CEACAM7 Q14002
COL9A2 Q14055
LASP1 Q14847
TOMM34 Q15785
VPS72 Q15906
SGCB Q16585
KYNU Q16719
IMPG1 Q17R60
ODF4 Q2M2E3
NRN1L Q496H8
KCNT1 Q5JUK3
ATAD3C Q5T2N8
ERICH6B Q5W0A0
JHY Q6NUN7
ERICH5 Q6P6B1
ATRAID Q6UW56
BAIAP2L2 Q6UXY1
ZNF562 Q6V9R5
ADAMTSL5 Q6ZMM2
STAC2 Q6ZMT1
FBN3 Q75N90
STIMATE Q86TL2
TSPYL5 Q86VY4
CREG2 Q8IUH2
GPR65 Q8IYL9
FAM186B Q8IYM0
TRIM22 Q8IYM9
VWDE Q8N2E2
PLD5 Q8N7P1
PRPF38A Q8NAV1
KY Q8NBH2
ZNF280C Q8ND82
OR5AN1 Q8NGI8
OR9A1P Q8NGU1
B4GALNT2 Q8NHY0
PKD1L1 Q8TDX9
SMAP2 Q8WU79
FAM216A Q8WUB2
CYB5D2 Q8WUJ1
SCG3 Q8WXD2
MADD Q8WXG6
RSPH1 Q8WYR4
JAKMIP2 Q96AA8
REEP6 Q96HR9
SENP8 Q96LD8
VPS13A Q96RL7
SLC26A8 Q96RN1
MYBBP1A Q9BQG0
ZNF670 Q9BS34
TTYH2 Q9BSA4
CYREN Q9BWK5
COMMD4 Q9H0A8
EBF2 Q9HAK2
PELI2 Q9HAT8
FOLH1B Q9HBA9
FKBP11 Q9NYL4
TAS2R5 Q9NYW4
PLA2G3 Q9NZ20
DSPP Q9NZW4
DHCR7 Q9UBM7
ITGA11 Q9UKX5
HECTD1 Q9ULT8
HSF4 Q9ULV5
PIGL Q9Y2B2
SALL2 Q9Y467
IGHV5-51 A0A0C4DH38
ANTXRL A6NF34
DUXA A6NLW8
CDIPT O14735
PHGDH O43175
LYPLA2 O95372
APOE P02649
RLN1 P04808
CHRNG P07510
WNT2 P09544
OR8U9 P0C7N5
TMEM253 P0C7T8
GAGE12G P0CL81
OPN1MW2 P0DN77
AR P10275
JUP P14923
ZNF22 P17026
PFKL P17858
CD33 P20138
IMPDH1 P20839
ERBB3 P21860
CRHBP P24387
EDNRB P24530
U2AF2 P26368
IMPA1 P29218
FCER1G P30273
GRK4 P32298
RAD52 P43351
METAP2 P50579
DAP3 P51398
GALK1 P51570
ZNF140 P52738
CFAP298 P57076
ZNF121 P58317
GCNT1 Q02742
RBL2 Q08999
ZNF844 Q08AG5
TBC1D8B Q0IIM8
TNK1 Q13470
TTLL12 Q14166
IHH Q14623
TTLL4 Q14679
HERPUD1 Q15011
TMEM132A Q24JP5
C11orf91 Q3C1V1
KRTAP13-4 Q3LI77
PDCD4 Q53EL6
CRB2 Q5IJ48
H2BC18 Q5QNW6
FNBP1L Q5T0N5
KIAA1217 Q5T5P2
OTUD1 Q5VV17
TENT4A Q5XG87
NCEH1 Q6PIU2
DEF8 Q6ZN54
SLC25A26 Q70HW3
ZNF227 Q86WZ6
TREML1 Q86YW5
ADGRF5 Q8IZF2
TEX9 Q8N6V9
FAM241A Q8N8J7
SPATA5 Q8NB90
NHLRC2 Q8NBF2
POC1A Q8NBT0
OR2AJ1 Q8NGZ0
HMGCLL1 Q8TB92
LRRC15 Q8TF66
CHURC1 Q8WUH1
CACTIN Q8WUQ7
APPBP2 Q92624
MT1L Q93083
HOOK2 Q96ED9
ST6GAL2 Q96JF0
GUCD1 Q96NT3
CLIC6 Q96NY7
SYNGAP1 Q96PV0
PLEKHF1 Q96S99
STRBP Q96SI9
IWS1 Q96ST2
TEP1 Q99973
SLC39A3 Q9BRY0
FUZ Q9BT04
PAXX Q9BUH6
TMEM106C Q9BVX2
TEX15 Q9BXT5
GSDMC Q9BYG8
NLN Q9BYT8
SETD2 Q9BYW2
PITPNM3 Q9BZ71
PUS3 Q9BZE2
PTPN23 Q9H3S7
SMYD3 Q9H7B4
EXD2 Q9NVH0
TBK1 Q9UHD2
FBXO2 Q9UK22
AJAP1 Q9UKB5
STRIP2 Q9ULQ0
DIMT1 Q9UNQ2
TSC22D4 Q9Y3Q8
KCTD3 Q9Y597
OR2A42 A0A2R8YEV3
TRAJ9 A0N4Z8
CEBPZOS A8MTT3
C4orf54 D6RIA3
IPO5 O00410
PRY O14603
MATN3 O15232
CAPN5 O15484
ZSCAN12 O43309
KIAA0754 O94854
SIX3 O95343
NUDT3 O95989
LHB P01229
TNF P01375
TPM2 P07951
CCDC159 P0C7I6
SAA1 P0DJI8
EEF1AKMT4 P0DPD7
TBXA2R P21731
RPS3 P23396
CHM P24386
NMBR P28336
SOX6 P35712
PBX3 P40426
PPT1 P50897
CAV2 P51636
AP3S2 P59780
GABARAPL2 P60520
CEBPZ Q03701
LAPTM4A Q15012
PWP2 Q15269
RSU1 Q15404
FXN Q16595
ESRG Q1W209
ALG11 Q2TAA5
IQCC Q4KMZ1
C19orf54 Q5BKX5
FAM47C Q5HY64
RALGPS1 Q5JS13
TMEM201 Q5SNT2
FRY Q5TBA9
CD276 Q5ZPR3
TIGD3 Q6B0B8
FAM53A Q6NSI3
BRAT1 Q6PJG6
CD200R1L Q6Q8B3
ISLR2 Q6UXK2
CCDC9B Q6ZUT6
ARC Q7LC44
ADGRD2 Q7Z7M1
LDHD Q86WU2
THNSL2 Q86YJ6
DNAJC10 Q8IXB1
CHPF Q8IZ52
MMP21 Q8N119
CLEC4F Q8N1N0
ZCCHC24 Q8N2G6
KIR3DL3 Q8N743
VGLL2 Q8N8G2
GBP7 Q8N8V2
DAND5 Q8N907
MTMR14 Q8NCE2
ZNF548 Q8NEK5
SPATA4 Q8NEY3
OR5AU1 Q8NGC0
MCFD2 Q8NI22
PHOSPHO2 Q8TCD6
CEMIP Q8WUJ3
NUP133 Q8WUM0
ZNF296 Q8WUU4
PHF3 Q92576
TSR2 Q969E8
NEIL2 Q969S2
KTI12 Q96EK9
SPG11 Q96JI7
ZNF317 Q96PQ6
ADAM2 Q99965
GPATCH1 Q9BRR8
NAA15 Q9BXJ9
AGXT2 Q9BYV1
ANKRD60 Q9BZ19
WDR12 Q9GZL7
SOX17 Q9H6I2
YTHDC2 Q9H6S0
MYO5C Q9NQX4
OTULINL Q9NUU6
RBFOX1 Q9NWB1
ABRACL Q9P1F3
CCDC88C Q9P219
ABI3 Q9P2A4
ERVK-18 Q9QC07
MRC2 Q9UBG0
PEMT Q9UBM1
ZNF391 Q9UJN7
PCDHA4 Q9UN74
LRCH1 Q9Y2L9
TRAF6 Q9Y4K3
PCDHB2 Q9Y5E7
ADGRG1 Q9Y653
TRAJ35 A0A075B6Y2
TRAJ7 A0A075B714
TRBV7-1 A0A0A6YYK4
TRAJ14 A0N4Z3
USP17L4 A6NCW7
SH2D7 A6NKC9
TTLL8 A6PVC2
MCF2L O15068
ST8SIA3 O43173
AP5Z1 O43299
EFCAB14 O75071
E2F6 O75461
FOXH1 O75593
TRUB2 O95900
ALB P02768
MPC1L P0DKB6
MYCL P12524
SRM P19623
ALAS2 P22557
TCEA1 P23193
IL3RA P26951
AK4 P27144
SMARCA1 P28370
CD6 P30203
RPS19 P39019
CDKN1B P46527
OR1E2 P47887
NPBWR2 P48146
PCYT1A P49585
GSK3A P49840
TUB P50607
CLCNKB P51801
LIMK2 P53671
FOXA1 P55317
DLX1 P56177
HBA1 P69905
CCT2 P78371
PRKDC P78527
PURA Q00577
CD47 Q08722
EP300 Q09472
TMEM94 Q12767
MAMLD1 Q13495
ODF1 Q14990
TAF9 Q16594
PTPN21 Q16825
SLC5A9 Q2M3M2
CNPY1 Q3B7I2
PTPN20 Q4JDL3
SBK1 Q52WX2
C2orf83 Q53S99
ARSI Q5FYB1
CLVS2 Q5SYC1
SYT6 Q5T7P8
SLC9C2 Q5TAH2
AK9 Q5TCS8
ZC2HC1B Q5TFG8
MSL1 Q68DK7
RBM44 Q6ZP01
CBLL1 Q75N03
DOK3 Q7L591
MRPL21 Q7Z2W9
BRAP Q7Z569
HMGN2P46 Q86SG4
HOOK3 Q86VS8
ANGPTL5 Q86XS5
RNF130 Q86XS8
MED12L Q86YW9
SMAP1 Q8IYB5
UBQLNL Q8IYU4
LRRC43 Q8N309
PALS1 Q8N3R9
CBLL2 Q8N7E2
TTLL6 Q8N841
SNX31 Q8N9S9
POMGNT2 Q8NAT1
OR6C4 Q8NGE1
MBD3L2 Q8NHZ7
NCOA7 Q8NI08
RNF217 Q8TC41
ZFAND1 Q8TCF1
C4orf3 Q8WVX3
CTNNBL1 Q8WYA6
PROX1 Q92786
CCDC74A Q96AQ1
RMDN3 Q96TC7
PHOX2B Q99453
TREX2 Q9BQ50
PIGQ Q9BRB3
FKSG35 Q9BZC5
RERGL Q9H628
SINHCAF Q9NP50
GTSE1 Q9NYZ3
PSENEN Q9NZ42
GMIP Q9P107
POGK Q9P215
SEC14L3 Q9UDX4
PNMA2 Q9UL42
RASD1 Q9Y272
MRPS18B Q9Y676
IGLV2-18 A0A075B6J9
TRDJ1 A0A075B706
IGLV5-52 A0A0A0MRZ9
H2BE1 A0A2R8Y619
CLEC18A A5D8T8
GOLGA8IP A6NC78
TRIM49B A6NDI0
TBC1D3B A6NDS4
TBKBP1 A7MCY6
MPTX1 A8MV57
TMEM150C B9EJG8
BHLHE40 O14503
ZNF213 O14771
SLC30A4 O14863
PPM1D O15297
TET3 O43151
RGS14 O43566
TCF21 O43680
RAMP3 O60896
CDKL5 O76039
BMP15 O95972
HBD P02042
CHRM2 P08172
IL6R P08887
DUX4L7 P0CJ90
SPDYE17 P0DUD2
MYBL1 P10243
SFTPC P11686
ZKSCAN1 P17029
CRYBB2 P43320
MASP1 P48740
GATM P50440
LBX1 P52954
ATP5MF P56134
CHMP4BP1 P59074
ACTR3 P61158
EIF5A P63241
MAP3K1 Q13233
TCOF1 Q13428
PDIA6 Q15084
PSG5 Q15238
SS18 Q15532
TAF1A Q15573
SPEG Q15772
PSMD5 Q16401
ACTL10 Q5JWF8
SPANXN3 Q5MJ09
RARS2 Q5T160
PPP1R26 Q5T8A7
WLS Q5T9L3
VWA5B1 Q5TIE3
SLC39A4 Q6P5W5
RHBDF2 Q6PJF5
CCDC171 Q6TFL3
UQCC3 Q6UW78
GK5 Q6ZS86
RNF165 Q6ZSG1
PKD1L3 Q7Z443
HDDC2 Q7Z4H3
ZBTB33 Q86T24
LRRTM1 Q86UE6
MIB1 Q86YT6
MFSD6L Q8IWD5
LRRC34 Q8IZ02
OR8I2 Q8N0Y5
MMGT1 Q8N4V1
ZNF784 Q8NCA9
OR4F6 Q8NGB9
MAFA Q8NHW3
RDH11 Q8TC12
CHPT1 Q8WUD6
ABCA10 Q8WWZ4
PYDC1 Q8WXC3
DLG3 Q92796
TAF15 Q92804
FBXL20 Q96IG2
GSDMA Q96QA5
ACBD6 Q9BR61
SLIRP Q9GZT3
LACRT Q9GZZ8
PUS7L Q9H0K6
ACBD3 Q9H3P7
GSTO2 Q9H4Y5
CLSPN Q9HAW4
USP29 Q9HBJ7
PNPLA8 Q9NP80
PCDH12 Q9NPG4
HEBP1 Q9NRV9
HOMER2 Q9NSB8
FRRS1L Q9P0K9
BCCIP Q9P287
RABL2A Q9UBK7
KAAG1 Q9UBP8
AASS Q9UDR5
PISD Q9UG56
RASAL2 Q9UJF2
MYH13 Q9UKX3
MKLN1 Q9UL63
DHRS7 Q9Y394
SUPT16H Q9Y5B9
SPEM3 A0A1B0GUW6
SNRPGP15 A8MWD9
DEFB108A A8MXU0
BCL9 O00512
WNT10B O00744
KLF11 O14901
MSH5 O43196
CFAP410 O43822
USP12 O75317
MED24 O75448
KRAS P01116
CAT P04040
MT1B P07438
CTSH P09668
FAM157B P0CG42
OR12D1 P0DN82
SPDYE15 P0DUD4
DBT P11182
ETS2 P15036
HPGD P15428
SDC1 P18827
BMP6 P22004
HOXD10 P28358
MIP P30301
NASP P49321
