ENST00000390247 A0/A0/75B6H7/swissmodel/18_116_5wt9.1.B
ENST00000327773 Q1/43/93/swissmodel/261_678_1h30.1.A
ENST00000309894 Q1/44/06/swissmodel/29_222_1huw.1.A
ENST00000358842 Q1/44/10/swissmodel/11_517_2d4w.1.A
ENST00000395052 Q1/44/16/swissmodel/25_824_6n52.1.A
ENST00000392701 Q1/44/35/swissmodel/81_632_6iwq.2.A
ENST00000583088 Q1/45/00/swissmodel/42_372_3sph.1.A
ENST00000351270 Q1/45/20/swissmodel/192_557_4duu.1.A
ENST00000265896 Q1/45/34/swissmodel/122_571_6c6n.1.A
ENST00000396423 Q1/45/41/swissmodel/10_328_4iqr.2.A
ENST00000446526 Q1/45/58/swissmodel/7_354_2ji4.1.A
ENST00000262415 Q1/45/62/swissmodel/393_1188_5xjc.1.Y
ENST00000265362 Q1/45/63/swissmodel/26_669_1olz.1.B
ENST00000216024 Q1/45/65/swissmodel/20_340_5np7.1.C
ENST00000264156 Q1/45/66/swissmodel/15_668_6mii.1.C
ENST00000381340 Q1/45/71/swissmodel/6_2635_6dr0.1.C
ENST00000374316 Q1/45/73/swissmodel/5_2611_6dqj.1.A
ENST00000360428 Q1/45/74/swissmodel/136_677_5iry.1.A
ENST00000266041 Q1/46/24/swissmodel/28_611_6fpy.1.A
ENST00000555003 Q1/46/26/swissmodel/26_319_1n26.1.A
ENST00000302640 Q1/46/43/swissmodel/6_2692_6dqs.1.D
ENST00000337777 Q1/46/51/swissmodel/122_627_1pxy.2.A
ENST00000339994 Q1/46/54/swissmodel/32_359_6c3o.1.B
ENST00000322444 Q1/46/81/swissmodel/70_240_3drx.1.C
ENST00000262460 Q1/46/91/swissmodel/1_144_2e9x.1.A
ENST00000374518 Q1/46/92/swissmodel/54_1267_6rxt.1.Z
ENST00000346178 Q1/46/97/swissmodel/33_944_5ied.1.A
ENST00000490337 Q1/47/22/swissmodel/91_413_6ebk.1.A
ENST00000485511 Q1/47/38/swissmodel/110_512_3fga.1.B
ENST00000372808 Q1/47/49/swissmodel/2_295_1d2g.1.A
ENST00000357402 Q1/47/64/swissmodel/1_815_4v60.1.9
ENST00000392320 Q1/47/65/swissmodel/2_676_1yvl.2.A
ENST00000340992 Q1/47/73/swissmodel/47_264_4oia.1.A
ENST00000604255 Q1/48/02/swissmodel/21_87_2jp3.1.A
ENST00000357716 Q1/48/31/swissmodel/41_849_6n51.1.A
ENST00000361669 Q1/48/32/swissmodel/32_833_6n52.1.A
ENST00000538487 Q1/48/33/swissmodel/41_846_6n51.1.A
ENST00000219599 Q1/48/94/swissmodel/2_313_2i99.1.A
ENST00000407693 Q1/49/14/swissmodel/4_328_1zsv.1.A
ENST00000293190 Q1/49/57/swissmodel/28_838_5iou.1.C
ENST00000320578 Q1/49/64/swissmodel/5_187_2f7s.1.A
ENST00000290158 Q1/49/74/swissmodel/1_873_2p8q.1.A
ENST00000367980 Q1/49/94/swissmodel/7_352_4nqa.1.B
ENST00000404125 Q1/49/97/swissmodel/29_1843_6rey.1.2
ENST00000295901 Q1/50/08/swissmodel/1_389_5l4k.1.J
ENST00000451025 Q1/50/13/swissmodel/54_274_6f0x.1.G
ENST00000298492 Q1/50/18/swissmodel/1_255_6h3c.1.A
ENST00000391973 Q1/50/19/swissmodel/34_305_3ftq.1.A
ENST00000265564 Q1/50/24/swissmodel/4_290_6h25.1.E
ENST00000426333 Q1/50/29/swissmodel/56_955_6qdv.1.I
ENST00000216039 Q1/50/40/swissmodel/24_199_6pgv.1.A
ENST00000319410 Q1/50/46/swissmodel/71_575_6ilh.1.A
ENST00000379747 Q1/50/63/swissmodel/38_631_5yjh.1.A
ENST00000293217 Q1/50/67/swissmodel/1_654_1is2.1.A
ENST00000456324 Q1/50/72/swissmodel/13_291_5wjq.1.C
ENST00000393590 Q1/50/77/swissmodel/15_315_4xnw.2.A
ENST00000397147 Q1/50/80/swissmodel/9_330_2dyb.1.A
ENST00000538771 Q1/51/02/swissmodel/5_216_3dt6.1.A
ENST00000375076 Q1/51/09/swissmodel/23_322_4ybh.1.C
ENST00000428675 Q1/51/11/swissmodel/110_852_3qr1.1.A
ENST00000282077 Q1/51/18/swissmodel/42_423_2q8f.1.A
ENST00000503176 Q1/51/19/swissmodel/12_404_3crk.1.B
ENST00000360472 Q1/51/21/swissmodel/1_130_1n3k.1.A
ENST00000396396 Q1/51/24/swissmodel/6_567_1c4g.1.B
ENST00000495186 Q1/51/25/swissmodel/7_219_6oht.1.B
ENST00000368467 Q1/51/26/swissmodel/1_192_3ch4.1.A
ENST00000353379 Q1/51/31/swissmodel/34_343_5acb.1.B
ENST00000378501 Q1/51/47/swissmodel/5_858_3qr1.1.A
ENST00000222572 Q1/51/65/swissmodel/32_354_3sre.1.A
ENST00000265627 Q1/51/66/swissmodel/23_354_4q1u.1.A
ENST00000261461 Q1/51/72/swissmodel/63_460_3fga.1.B
ENST00000164133 Q1/51/73/swissmodel/69_466_3fga.1.B
ENST00000373232 Q1/51/81/swissmodel/3_288_6c45.1.A
ENST00000262033 Q1/51/85/swissmodel/1_110_1ejf.1.A
ENST00000229812 Q1/52/08/swissmodel/12_457_5ncl.1.A
ENST00000276079 Q1/52/33/swissmodel/69_366_4wij.1.B
ENST00000393370 Q1/52/57/swissmodel/22_357_2hv7.2.A
ENST00000291576 Q1/52/69/swissmodel/2_879_6nd4.1.K
ENST00000395384 Q1/52/74/swissmodel/1_289_5ayy.1.A
ENST00000229340 Q1/52/86/swissmodel/1_170_6if2.1.A
ENST00000264515 Q1/52/91/swissmodel/2_380_6kiv.1.L
ENST00000316843 Q1/53/34/swissmodel/15_950_6n8q.1.A
ENST00000518127 Q1/53/69/swissmodel/1_112_6r7h.1.B
ENST00000262306 Q1/53/70/swissmodel/1_118_2ma9.1.B
ENST00000262187 Q1/53/82/swissmodel/2_181_3t5g.1.A
ENST00000366607 Q1/53/88/swissmodel/51_145_1om2.1.A
ENST00000517746 Q1/53/89/swissmodel/175_498_1m1j.1.F
ENST00000309170 Q1/53/91/swissmodel/12_302_4pxz.1.A
ENST00000302516 Q1/53/93/swissmodel/1_1217_5z57.1.3
ENST00000397885 Q1/53/97/swissmodel/127_646_4wzr.2.A
ENST00000308979 Q1/53/99/swissmodel/25_559_6nih.1.A
ENST00000377921 Q1/54/04/swissmodel/34_255_5a5c.1.A
ENST00000234038 Q1/54/35/swissmodel/55_360_6hkw.1.A
ENST00000307712 Q1/54/36/swissmodel/3_762_5kyn.1.A
ENST00000336714 Q1/54/37/swissmodel/3_764_5kyn.1.A
ENST00000361101 Q1/54/38/swissmodel/9_396_6u3e.1.A
ENST00000375394 Q1/54/77/swissmodel/257_1244_6ro1.1.A
ENST00000291744 Q1/54/85/swissmodel/97_313_2j3o.1.A
ENST00000397180 Q1/54/93/swissmodel/3_299_3g4h.1.B
ENST00000369839 Q1/55/42/swissmodel/207_800_6f3t.1.A
ENST00000442011 Q1/55/82/swissmodel/43_637_5nv6.1.A
ENST00000389682 Q1/56/31/swissmodel/1_217_1j1j.1.D
ENST00000166345 Q1/56/45/swissmodel/19_429_6f0x.1.C
ENST00000257570 Q1/56/46/swissmodel/5_348_4xq7.1.A
ENST00000338844 Q1/56/61/swissmodel/31_272_2bm2.1.B
ENST00000381799 Q1/56/69/swissmodel/2_173_2p2l.1.C
ENST00000396789 Q1/57/22/swissmodel/13_288_5x33.1.A
ENST00000216160 Q1/57/50/swissmodel/16_370_2j4o.1.A
ENST00000542575 Q1/57/58/swissmodel/41_495_5mju.1.A
ENST00000330651 Q1/57/59/swissmodel/5_348_3gp0.1.A
ENST00000280200 Q1/57/62/swissmodel/19_241_6o3o.1.D
ENST00000533486 Q1/57/71/swissmodel/5_175_2ew1.1.A
ENST00000358117 Q1/57/77/swissmodel/11_291_3rl5.1.A
ENST00000445067 Q1/57/82/swissmodel/27_390_4p8u.1.A
ENST00000523111 Q1/58/19/swissmodel/6_145_4nri.1.A
ENST00000276410 Q1/58/25/swissmodel/33_488_6pv7.1.A
ENST00000312134 Q1/58/28/swissmodel/35_149_3qrd.3.A
ENST00000221283 Q1/58/33/swissmodel/5_593_4cca.1.A
ENST00000335678 Q1/58/35/swissmodel/30_536_4pni.1.A
ENST00000054666 Q1/58/36/swissmodel/11_98_2kog.1.A
ENST00000240662 Q1/58/42/swissmodel/32_368_3spg.1.A
ENST00000250495 Q1/58/43/swissmodel/1_76_2n7k.1.A
ENST00000372013 Q1/58/47/swissmodel/19_66_5cwg.1.A
ENST00000328024 Q1/59/07/swissmodel/8_188_2f9m.1.A
ENST00000320356 Q1/59/10/swissmodel/10_740_5hyn.1.A
ENST00000340684 Q1/59/73/swissmodel/81_341_5wjq.1.C
ENST00000304298 Q1/60/82/swissmodel/17_149_5ltw.2.C
ENST00000527524 Q1/60/99/swissmodel/23_862_5wek.1.A
ENST00000511912 Q1/61/34/swissmodel/37_617_2gmh.1.A
ENST00000399034 Q1/61/81/swissmodel/48_316_6n0b.1.A
ENST00000253003 Q1/61/86/swissmodel/1_407_2kr0.1.A
ENST00000367926 Q1/62/22/swissmodel/1_518_1jv3.1.A
ENST00000329903 Q1/62/80/swissmodel/128_581_5h3o.1.A
ENST00000369771 Q1/63/22/swissmodel/81_468_5wie.1.B
ENST00000274545 Q1/64/45/swissmodel/33_443_6huo.1.A
ENST00000262895 Q1/64/78/swissmodel/22_862_5wek.1.A
ENST00000225823 Q1/65/15/swissmodel/40_453_4nyk.1.A
ENST00000262340 Q1/65/18/swissmodel/2_533_4ryz.1.B
ENST00000008527 Q1/65/26/swissmodel/3_505_4i6j.1.A
ENST00000301764 Q1/65/31/swissmodel/1_1140_5jk7.2.A
ENST00000337537 Q1/65/37/swissmodel/51_423_2iae.2.B
ENST00000397298 Q1/65/40/swissmodel/2_153_5oom.1.S
ENST00000222005 Q1/65/43/swissmodel/2_260_5fwp.1.C
ENST00000320934 Q1/65/49/swissmodel/143_616_4omc.1.A
ENST00000311151 Q1/65/55/swissmodel/15_507_5mkv.1.C
ENST00000282356 Q1/65/66/swissmodel/39_372_3ku2.1.A
ENST00000380084 Q1/65/76/swissmodel/7_410_3cfs.1.A
ENST00000306006 Q1/66/00/swissmodel/147_426_5wjq.1.C
ENST00000409998 Q1/66/02/swissmodel/33_402_6e3y.1.F
ENST00000374467 Q1/66/11/swissmodel/18_180_2m5b.1.A
ENST00000250615 Q1/66/13/swissmodel/18_196_1ib1.1.C
ENST00000222812 Q1/66/23/swissmodel/2_248_3c98.1.B
ENST00000446044 Q1/66/44/swissmodel/35_364_1kwp.3.C
ENST00000244043 Q1/66/47/swissmodel/23_500_2iag.1.A
ENST00000317508 Q1/66/51/swissmodel/45_295_3e0n.1.A
ENST00000376898 Q1/66/53/swissmodel/31_202_4f9l.1.A
ENST00000005178 Q1/66/54/swissmodel/20_386_2e0a.1.A
ENST00000382361 Q1/66/58/swissmodel/10_493_6i15.1.A
ENST00000372581 Q1/66/61/swissmodel/27_111_1o8r.1.A
ENST00000335183 Q1/66/67/swissmodel/21_200_1fq1.1.A
ENST00000263369 Q1/66/74/swissmodel/25_131_1k0x.1.A
ENST00000366696 Q1/66/95/swissmodel/34_136_1f66.1.G
ENST00000330436 Q1/66/96/swissmodel/31_494_3t3s.5.A
ENST00000220764 Q1/66/98/swissmodel/35_329_1w8d.1.A
ENST00000261483 Q1/67/06/swissmodel/116_1144_2alw.1.A
ENST00000355749 Q1/67/18/swissmodel/5_116_5xtb.1.G
ENST00000264170 Q1/67/19/swissmodel/6_460_3e9k.1.A
ENST00000245816 Q1/67/40/swissmodel/58_251_6bba.1.F
ENST00000403892 Q1/67/62/swissmodel/2_293_1dp2.1.A
ENST00000264552 Q1/67/63/swissmodel/7_156_6qhk.1.B
ENST00000338415 Q1/67/69/swissmodel/33_361_2zed.1.A
ENST00000211122 Q1/67/72/swissmodel/2_222_1pkw.1.A
ENST00000302586 Q1/67/73/swissmodel/4_422_4wp0.1.A
ENST00000366728 Q1/67/74/swissmodel/1_197_6nui.1.A
ENST00000397356 Q1/67/75/swissmodel/49_308_1qh5.1.A
ENST00000331380 Q1/67/77/swissmodel/3_129_1eqz.1.G
ENST00000369155 Q1/67/78/swissmodel/27_126_5kgf.1.D
ENST00000266544 Q1/67/95/swissmodel/40_376_5xtb.1.I
ENST00000543262 Q1/67/98/swissmodel/48_602_1gq2.1.A
ENST00000452681 Q1/68/16/swissmodel/11_333_4ysm.1.A
ENST00000230588 Q1/68/19/swissmodel/32_605_4gwm.1.A
ENST00000269202 Q1/68/20/swissmodel/25_597_4gwm.1.A
ENST00000216780 Q1/68/22/swissmodel/28_640_3dt7.3.A
ENST00000331803 Q1/68/31/swissmodel/16_308_3euf.1.A
ENST00000603302 Q1/68/36/swissmodel/24_314_1f0y.1.A
ENST00000393640 Q1/68/42/swissmodel/68_349_2wml.1.A
ENST00000337130 Q1/68/51/swissmodel/24_508_4r7p.1.A
ENST00000308423 Q1/68/53/swissmodel/55_761_1pu4.1.A
ENST00000264093 Q1/68/54/swissmodel/37_277_2ocp.1.A
ENST00000492758 Q1/68/64/swissmodel/1_113_4rnd.1.B
ENST00000292596 Q1/68/73/swissmodel/2_145_3hkk.1.A
ENST00000379775 Q1/68/75/swissmodel/4_447_6ibz.1.A
ENST00000232375 Q1/68/77/swissmodel/38_469_1bif.1.A
ENST00000250535 Q1/68/78/swissmodel/6_192_6bgm.1.A
ENST00000532324 Q1/7R/31/swissmodel/5_272_2y1h.1.A
ENST00000369230 Q1/7R/R3/swissmodel/19_467_1hpl.1.A
ENST00000512953 Q1/W4/C9/swissmodel/31_93_2jxd.1.A
ENST00000303538 Q2/9R/F7/swissmodel/31_1126_5hdt.1.A
ENST00000371542 Q2/I0/M4/swissmodel/40_256_2xot.1.B
ENST00000361050 Q2/M3/85/swissmodel/27_647_6u2l.1.A
ENST00000404938 Q2/M3/G0/swissmodel/12_1244_4f4c.1.A
ENST00000223026 Q2/M3/T9/swissmodel/38_452_2pe4.1.A
ENST00000417209 Q2/M5/E4/swissmodel/8_139_2a72.1.A
ENST00000301364 Q2/NL/82/swissmodel/47_792_6g18.1.5
ENST00000441178 Q2/QD/12/swissmodel/4_225_3ovp.1.B
ENST00000497473 Q2/TA/A2/swissmodel/14_239_3mil.1.A
ENST00000397149 Q2/TA/Y7/swissmodel/5_513_5o9z.1.L
ENST00000354624 Q2/TB/90/swissmodel/1_910_1bg3.1.A
ENST00000322446 Q2/VI/R3/swissmodel/39_460_6fec.1.V
ENST00000374975 Q3/01/54/swissmodel/30_219_1fv1.1.B
ENST00000357618 Q3/02/01/swissmodel/26_297_1a6z.1.A
ENST00000392979 Q3/2M/45/swissmodel/104_926_6qpb.1.B
ENST00000394773 Q3/2P/44/swissmodel/209_869_4ci8.1.A
ENST00000324290 Q3/B8/N2/swissmodel/1_356_4han.1.A
ENST00000381139 Q3/I5/F7/swissmodel/1_196_3hlk.1.A
ENST00000520965 Q3/KN/S6/swissmodel/153_431_5wjq.1.C
ENST00000409858 Q3/KQ/V9/swissmodel/6_501_1jv3.1.A
ENST00000454608 Q3/LF/D5/swissmodel/53_358_5chv.1.A
ENST00000379774 Q3/LI/E5/swissmodel/15_335_2nxf.1.A
ENST00000394900 Q3/LX/A3/swissmodel/2_573_1un8.1.A
ENST00000393423 Q3/MI/N7/swissmodel/13_506_5cm8.1.A
ENST00000555868 Q3/MI/R4/swissmodel/12_343_6k7g.1.B
ENST00000316752 Q3/MI/T2/swissmodel/1_528_2v9k.1.A
ENST00000399518 Q3/MJ/16/swissmodel/62_859_5iz5.1.A
ENST00000597850 Q3/SY/52/swissmodel/164_458_5wjq.1.C
ENST00000428789 Q3/V5/L5/swissmodel/149_792_5zib.1.A
ENST00000523638 Q3/ZC/T1/swissmodel/54_355_5v3m.1.C
ENST00000238875 Q3/ZC/W2/swissmodel/38_171_2jj6.1.A
ENST00000378412 Q4/95/T6/swissmodel/88_779_4cth.1.A
ENST00000306562 Q4/99/Z4/swissmodel/13_335_5v3j.2.C
ENST00000506823 Q4/9A/17/swissmodel/63_598_2d7r.1.A
ENST00000465530 Q4/9A/H0/swissmodel/27_187_4bit.1.A
ENST00000378832 Q4/AC/99/swissmodel/135_553_1m4n.1.A
ENST00000281187 Q4/G0/F5/swissmodel/9_296_2r51.1.A
ENST00000335247 Q4/G0/S4/swissmodel/2_371_3k9v.2.A
ENST00000405954 Q4/G0/W2/swissmodel/10_166_2hcm.1.A
ENST00000317447 Q4/G1/76/swissmodel/25_573_5wm2.1.A
ENST00000374339 Q4/JD/L3/swissmodel/116_418_1wch.1.A
ENST00000423947 Q4/KM/Q2/swissmodel/43_876_6qpb.1.B
ENST00000553645 Q4/LD/G9/swissmodel/23_176_6mky.1.A
ENST00000229238 Q4/U2/R6/swissmodel/32_128_5oom.1.f
ENST00000311755 Q4/VC/39/swissmodel/23_104_2lom.1.A
ENST00000255136 Q4/VX/U2/swissmodel/8_401_6r5k.1.E
ENST00000280154 Q5/3E/L6/swissmodel/161_450_3eiq.1.B
ENST00000007969 Q5/3E/V4/swissmodel/39_302_4r6g.1.A
ENST00000238721 Q5/3F/A7/swissmodel/1_332_2j8z.1.A
ENST00000278483 Q5/3F/T3/swissmodel/1_196_3wvz.1.A
ENST00000289416 Q5/3F/Z2/swissmodel/54_584_3eq6.2.A
ENST00000323701 Q5/3G/S9/swissmodel/105_555_4msx.1.A
ENST00000273371 Q5/3H/76/swissmodel/45_448_1lpa.1.B
ENST00000276590 Q5/3H/82/swissmodel/1_288_4ad9.1.A
ENST00000508394 Q5/3H/V7/swissmodel/25_269_1oe4.1.A
ENST00000393537 Q5/3R/E8/swissmodel/22_183_5le7.1.A
ENST00000327428 Q5/3S/33/swissmodel/27_107_2ncl.1.A
ENST00000321348 Q5/3T/N4/swissmodel/6_230_5zle.1.A
ENST00000423391 Q5/62/R1/swissmodel/6_375_5ogw.1.E
ENST00000518817 Q5/6P/42/swissmodel/2_97_2km6.1.A
ENST00000361484 Q5/BK/Y1/swissmodel/23_253_4u08.1.A
ENST00000377906 Q5/DT/21/swissmodel/21_86_2leo.1.A
ENST00000329314 Q5/EB/N2/swissmodel/1_134_5olm.1.A
ENST00000368328 Q5/EE/01/swissmodel/14_88_3b0d.1.B
ENST00000331410 Q5/FW/F6/swissmodel/144_420_5v3m.1.C
ENST00000381130 Q5/FY/A8/swissmodel/5_554_1p49.1.A
ENST00000315366 Q5/FY/B0/swissmodel/76_554_1fsu.1.A
ENST00000328668 Q5/FY/B1/swissmodel/45_523_1fsu.1.A
ENST00000328444 Q5/GA/N6/swissmodel/71_205_3mx8.1.A
ENST00000327536 Q5/GJ/75/swissmodel/109_292_4q9v.1.B
ENST00000450049 Q5/H9/13/swissmodel/20_197_5di3.1.A
ENST00000288532 Q5/HY/K3/swissmodel/75_327_4obw.1.A
ENST00000449606 Q5/JP/H6/swissmodel/35_522_5tgt.1.A
ENST00000380989 Q5/JR/X3/swissmodel/33_1037_4l3t.1.A
ENST00000419065 Q5/JS/54/swissmodel/10_123_5wtq.1.A
ENST00000407572 Q5/JS/S6/swissmodel/5_88_6ndu.1.B
ENST00000276066 Q5/JT/25/swissmodel/17_192_2y8e.2.A
ENST00000373574 Q5/JT/N6/swissmodel/20_307_2ymu.1.A
ENST00000360171 Q5/JT/Y5/swissmodel/40_378_1nij.1.A
ENST00000373284 Q5/JU/69/swissmodel/46_321_6oif.1.A
ENST00000371757 Q5/JU/K3/swissmodel/71_1200_5u70.1.A
ENST00000374919 Q5/JU/X0/swissmodel/45_255_4uy4.1.A
ENST00000443905 Q5/JV/G8/swissmodel/142_420_5wjq.1.C
ENST00000330271 Q5/JW/F8/swissmodel/2_245_1c0g.1.B
ENST00000378803 Q5/MA/I5/swissmodel/2_290_4agu.1.A
ENST00000392325 Q5/MN/Z6/swissmodel/8_339_6iyy.1.A
ENST00000262139 Q5/MN/Z9/swissmodel/16_360_5ltd.1.A
ENST00000371506 Q5/MY/95/swissmodel/39_464_4cd3.1.A
ENST00000545683 Q5/QN/W6/swissmodel/27_126_5kgf.1.D
ENST00000429261 Q5/R3/87/swissmodel/19_149_3dih.1.A
ENST00000377395 Q5/RI/A9/swissmodel/40_378_1nij.1.A
ENST00000435634 Q5/RK/V6/swissmodel/3_270_6d6r.1.F
ENST00000498165 Q5/SG/D2/swissmodel/92_357_5gwp.2.A
ENST00000308941 Q5/SR/E7/swissmodel/2_291_3obz.1.A
ENST00000358812 Q5/SR/I9/swissmodel/93_450_5lyr.1.A
ENST00000541562 Q5/ST/30/swissmodel/99_1049_1ivs.2.B
ENST00000368725 Q5/SY/68/swissmodel/2_97_4aqj.1.A
ENST00000275162 Q5/SY/C1/swissmodel/5_266_3hy5.1.A
ENST00000372425 Q5/T0/13/swissmodel/5_268_3ngf.1.A
ENST00000369536 Q5/T1/60/swissmodel/5_578_1bs2.1.A
ENST00000368814 Q5/T1/C6/swissmodel/43_240_4gah.1.B
ENST00000331314 Q5/T1/V6/swissmodel/166_581_6qw6.1.X
ENST00000368602 Q5/T2/15/swissmodel/9_173_1wc8.1.A
ENST00000361256 Q5/T2/80/swissmodel/69_374_4rg1.1.A
ENST00000376215 Q5/T2/R2/swissmodel/91_415_3aq0.2.A
ENST00000337532 Q5/T2/T1/swissmodel/132_575_4wsi.1.A
ENST00000366711 Q5/T4/40/swissmodel/43_352_6geu.1.A
ENST00000366714 Q5/T4/42/swissmodel/5_293_2zw3.1.A
ENST00000266066 Q5/T4/F7/swissmodel/51_303_5xgp.1.A
ENST00000321680 Q5/T5/C0/swissmodel/43_1035_6n8p.1.A
ENST00000372699 Q5/T5/D7/swissmodel/99_378_5wjq.1.C
ENST00000388752 Q5/T6/53/swissmodel/61_296_6nu2.1.A
ENST00000376419 Q5/T6/J7/swissmodel/4_177_3t61.1.A
ENST00000310357 Q5/T6/X5/swissmodel/23_584_5k5t.1.A
ENST00000371360 Q5/T7/00/swissmodel/76_205_4zrp.1.B
ENST00000371809 Q5/T7/64/swissmodel/8_467_5udj.1.A
ENST00000540437 Q5/TA/45/swissmodel/2_448_2i7v.1.A
ENST00000343938 Q5/TA/50/swissmodel/7_214_4k85.1.A
ENST00000336617 Q5/TB/B1/swissmodel/14_228_3puf.2.B
ENST00000375431 Q5/TC/63/swissmodel/11_315_4p17.1.A
ENST00000371891 Q5/TC/H4/swissmodel/47_509_6c94.1.A
ENST00000373161 Q5/TG/U0/swissmodel/1_169_2mgy.1.A
ENST00000373045 Q5/VS/G8/swissmodel/100_454_4acz.2.A
ENST00000366910 Q5/VT/66/swissmodel/53_336_6fw2.1.A
ENST00000376085 Q5/VT/99/swissmodel/26_241_3zyi.1.A
ENST00000366962 Q5/VT/E6/swissmodel/162_543_4z2b.1.A
ENST00000366523 Q5/VU/J9/swissmodel/91_260_3ek8.1.A
ENST00000439373 Q5/VV/Y1/swissmodel/57_277_5cvd.2.A
ENST00000340934 Q5/VW/32/swissmodel/1_401_3zxp.1.A
ENST00000366928 Q5/VW/Z2/swissmodel/9_230_3u0v.1.A
ENST00000404459 Q5/VX/I9/swissmodel/29_394_1k8q.1.A
ENST00000404190 Q5/VX/J0/swissmodel/28_395_1hlg.1.A
ENST00000371330 Q5/VX/M1/swissmodel/30_394_3kq4.1.B
ENST00000331772 Q5/VY/X0/swissmodel/1_341_3qj4.1.A
ENST00000404743 Q5/VY/Y2/swissmodel/41_410_1k8q.1.A
ENST00000375854 Q5/VZ/03/swissmodel/2_148_4fyu.2.A
ENST00000262850 Q5/VZ/M2/swissmodel/34_361_6ces.1.D
ENST00000267273 Q5/VZ/V1/swissmodel/45_264_4mtl.1.B
ENST00000371939 Q5/W0/64/swissmodel/1_365_1hlg.1.A
ENST00000382466 Q5/W0/Z9/swissmodel/5_299_6bml.1.A
ENST00000540947 Q5/XG/92/swissmodel/27_550_5a7f.1.A
ENST00000375707 Q5/XL/A6/swissmodel/1_91_6j52.1.A
ENST00000311635 Q5/XU/X0/swissmodel/76_539_5vzt.1.B
ENST00000355303 Q5/XX/A6/swissmodel/117_936_5oyb.1.A
ENST00000393110 Q6/58/P3/swissmodel/28_466_6hcy.1.A
ENST00000254337 Q6/6K/64/swissmodel/33_600_6pai.1.B
ENST00000360986 Q6/6K/79/swissmodel/185_584_2nsm.1.A
ENST00000455566 Q6/6L/E6/swissmodel/14_452_3dw8.1.B
ENST00000380079 Q6/87/X5/swissmodel/19_454_6hcy.1.A
ENST00000329697 Q6/8C/K6/swissmodel/36_569_3gpc.1.A
ENST00000343280 Q6/8D/Y9/swissmodel/143_457_5v3m.1.C
ENST00000338487 Q6/8J/44/swissmodel/32_206_2y96.1.A
ENST00000374510 Q6/A5/55/swissmodel/1_127_5g2z.1.A
ENST00000322734 Q6/AZ/W8/swissmodel/47_325_5wjq.1.C
ENST00000300747 Q6/AZ/Z1/swissmodel/136_483_4cg4.1.A
ENST00000335080 Q6/B0/I6/swissmodel/11_341_3dxt.1.A
ENST00000356815 Q6/B0/K9/swissmodel/1_140_5ker.1.A
ENST00000367948 Q6/BA/A4/swissmodel/22_285_4x4m.1.C
ENST00000533558 Q6/BC/Y4/swissmodel/9_276_1ndh.1.A
ENST00000398868 Q6/DD/88/swissmodel/22_438_5vgr.1.A
ENST00000428046 Q6/DH/V7/swissmodel/13_350_6ijp.1.A
ENST00000493763 Q6/DK/I1/swissmodel/21_255_3jct.1.j
ENST00000328114 Q6/DK/I2/swissmodel/1_356_3naj.1.A
ENST00000326669 Q6/EE/V6/swissmodel/1_95_2awt.1.A
ENST00000382073 Q6/EI/G7/swissmodel/64_209_5vyb.1.A
ENST00000369159 Q6/FI/13/swissmodel/11_118_6se6.1.G
ENST00000303037 Q6/GP/I1/swissmodel/19_263_2cga.1.A
ENST00000442325 Q6/IA/86/swissmodel/6_823_6qk7.1.B
ENST00000278671 Q6/IA/A8/swissmodel/46_160_6ehr.1.E
ENST00000263256 Q6/IC/B0/swissmodel/4_161_2wp7.1.A
ENST00000356972 Q6/IE/38/swissmodel/33_97_2leo.1.A
ENST00000329106 Q6/IM/I6/swissmodel/19_304_2gwh.1.B
ENST00000280098 Q6/IQ/16/swissmodel/28_347_3hqi.1.A
ENST00000417955 Q6/IQ/20/swissmodel/57_389_4qn9.1.A
ENST00000329286 Q6/IQ/22/swissmodel/39_244_1ukv.1.B
ENST00000520547 Q6/IS/14/swissmodel/15_152_5dlq.1.C
ENST00000333538 Q6/IS/24/swissmodel/89_595_6h0b.2.A
ENST00000301202 Q6/IS/S4/swissmodel/22_150_5ou8.1.A
ENST00000274979 Q6/IW/H7/swissmodel/99_890_6qp6.1.A
ENST00000075503 Q6/J9/G0/swissmodel/106_388_5a46.1.A
ENST00000371633 Q6/JV/E5/swissmodel/19_190_2l5p.1.A
ENST00000311180 Q6/L8/Q7/swissmodel/161_609_4z0v.1.A
ENST00000315765 Q6/MZ/M0/swissmodel/27_1068_5n4l.1.A
ENST00000295055 Q6/MZ/Z7/swissmodel/13_668_1kfu.1.A
ENST00000278550 Q6/N0/22/swissmodel/920_2765_6fb3.1.A
ENST00000379406 Q6/N0/69/swissmodel/3_840_6c9m.2.A
ENST00000429722 Q6/NS/38/swissmodel/56_258_3h8x.1.A
ENST00000521992 Q6/NT/32/swissmodel/29_543_5fv4.1.A
ENST00000359342 Q6/NT/52/swissmodel/20_129_1qfw.1.B
ENST00000269703 Q6/NT/55/swissmodel/48_527_6c93.1.A
ENST00000401756 Q6/NT/F7/swissmodel/3_181_6b0b.1.A
ENST00000331849 Q6/NU/N0/swissmodel/11_573_2p2b.1.A
ENST00000388761 Q6/NV/U6/swissmodel/1_131_2z84.1.A
ENST00000359678 Q6/NV/Y1/swissmodel/32_386_3bpt.1.A
ENST00000244314 Q6/NX/R0/swissmodel/11_397_5fph.7.A
