transcript,gene,bp,all,syn,mis,non,splice_site,frameshift,,,
NM_003146,SSRP1,2130,-4.4754,-5.0410,-4.6470,-5.9461,-6.1716,-5.8699,,,
NM_001004755,OR51L1,948,-4.9594,-5.5421,-5.1115,-6.4683,-7.6553,-6.2215,,,
NM_002599,PDE2A,2826,-4.3300,-4.8312,-4.5302,-6.0026,-5.8232,-5.7471,,,
NM_006473,TAF6L,1869,-4.4544,-4.9655,-4.6387,-6.0508,-6.3860,-5.9267,,,
NM_004739,MTA2,2007,-4.5076,-5.1231,-4.6662,-5.9188,-6.1242,-5.8958,,,
NM_024649,BBS1,1782,-4.5024,-5.0298,-4.6908,-6.0033,-6.1444,-5.9474,,,
NM_001004052,OR52B2,972,-4.8905,-5.5135,-5.0278,-6.4007,NA,-6.2106,,,
NM_001005161,OR52B4,945,-4.9330,-5.5048,-5.0870,-6.4999,-7.7210,-6.2229,,,
NM_024081,PRRG4,681,-5.0657,-5.5921,-5.2488,-6.6951,-6.7536,-6.3652,,,
NM_032801,JAM3,933,-4.8003,-5.3550,-4.9783,-6.2729,-6.4436,-6.2284,,,
NM_025098,MOGAT2,1005,-4.7708,-5.3190,-4.9444,-6.2672,-6.6422,-6.1961,,,
NM_003942,RPS6KA4,2319,-4.3517,-4.8444,-4.5460,-5.9358,-6.2360,-5.8330,,,
NM_175932,PSMD13,1137,-4.7737,-5.3180,-4.9695,-6.1480,-6.2433,-6.1426,,,
NM_198335,GANAB,2901,-4.3303,-4.9298,-4.5027,-5.6304,-5.9220,-5.7358,,,
NM_003696,OR6A2,984,-4.9324,-5.5105,-5.0814,-6.5925,-7.6380,-6.2053,,,
NM_005608,PTPRCAP,621,-5.0198,-5.5016,-5.2198,-6.4839,-7.5974,-6.4052,,,
NM_001172223,MOB2,807,-4.8511,-5.2873,-5.0629,-6.5953,NA,-6.2914,,,
NM_025155,PAAF1,1179,-4.8263,-5.4074,-5.0097,-6.1279,-6.3392,-6.1268,,,
NM_015313,ARHGEF12,4635,-4.2059,-4.8212,-4.3718,-5.5374,-5.7558,-5.5323,,,
NM_053054,CATSPER1,2343,-4.3723,-4.9042,-4.5443,-6.0431,-6.3150,-5.8285,,,
NM_000610,CD44,2229,-4.5430,-5.1162,-4.7177,-6.0106,-6.0740,-5.8502,,,
NM_032228,FAR1,1548,-4.6948,-5.2958,-4.8610,-6.0408,-6.3631,-6.0085,,,
NM_018093,WDR74,1158,-4.7118,-5.2491,-4.8776,-6.2926,NA,-6.1346,,,
NM_015885,PCF11,4668,-4.2417,-4.8191,-4.4116,-5.4716,NA,-5.5292,,,
NM_001128620,PAK1,1662,-4.6431,-5.2309,-4.8178,-6.0225,-6.1591,-5.9777,,,
NM_015368,PANX1,1281,-4.6966,-5.1923,-4.8945,-6.1359,-6.7382,-6.0908,,,
NM_001001920,OR4C15,1113,-4.9082,-5.4892,-5.0609,-6.4021,-7.9550,-6.1518,,,
NM_001004701,OR4C16,933,-4.9742,-5.5423,-5.1283,-6.5931,-7.5899,-6.2284,,,
NM_001004700,OR4C11,933,-4.9725,-5.5638,-5.1178,-6.5865,-7.6659,-6.2284,,,
NM_001001955,OR4C13,930,-4.9781,-5.5199,-5.1416,-6.6325,-7.5912,-6.2298,,,
NM_001005270,OR4C12,930,-5.0004,-5.5686,-5.1529,-6.6471,-7.7376,-6.2298,,,
NM_052959,PANX3,1179,-4.7552,-5.3146,-4.9256,-6.1585,-6.8761,-6.1268,,,
NM_001005197,OR8D4,945,-4.9735,-5.5477,-5.1239,-6.6342,-7.6202,-6.2229,,,
NM_004778,PTGDR2,1188,-4.9969,-5.4706,-5.1820,-6.9510,NA,-6.1235,,,
NM_001002917,OR8D1,927,-4.9649,-5.5087,-5.1250,-6.6957,-7.7946,-6.2312,,,
NM_001002918,OR8D2,936,-4.9729,-5.5535,-5.1192,-6.6880,-7.6375,-6.2270,,,
NM_006458,TRIM3,2235,-4.3504,-4.8934,-4.5190,-5.9547,-6.3455,-5.8490,,,
NM_015517,HINFP,1554,-4.6116,-5.2097,-4.7741,-6.0143,-6.3207,-6.0069,,,
NM_153253,SIPA1,3129,-4.3545,-4.8491,-4.5436,-6.0363,-6.2876,-5.7029,,,
NM_001001522,TAGLN,606,-5.0124,-5.5789,-5.1823,-6.4440,-6.8844,-6.4158,,,
NM_014186,COMMD9,597,-5.0847,-5.6348,-5.2657,-6.5791,-6.7133,-6.4223,,,
NM_001008709,PPP1CA,1026,-4.6927,-5.1820,-4.8937,-6.1901,-6.5705,-6.1872,,,
NM_003320,TUB,1686,-4.5246,-5.0884,-4.6973,-6.1394,-6.0465,-5.9715,,,
NM_001039496,C11orf20,603,-5.2773,-5.7922,-5.4692,-6.5641,NA,-6.4180,,,
NM_015533,DAK,1728,-4.5080,-5.0112,-4.6938,-6.4366,-6.1695,-5.9608,,,
NM_005170,ASCL2,582,-6.4450,-7.1010,-6.5642,-8.1636,NA,-6.4334,,,
NM_001033953,CALCA,387,-5.2597,-5.8077,-5.4267,-7.0486,-7.0447,-6.6106,,,
NM_000728,CALCB,384,-5.1946,-5.7205,-5.3688,-7.0116,-7.0378,-6.6140,,,
NM_001005567,OR51B5,939,-4.9271,-5.4732,-5.0933,-6.4505,-7.6408,-6.2256,,,
NM_033179,OR51B4,933,-4.9307,-5.4979,-5.0858,-6.5192,-7.5915,-6.2284,,,
NM_001004750,OR51B6,939,-4.9522,-5.5595,-5.0935,-6.5453,-7.5176,-6.2256,,,
NM_033180,OR51B2,939,-4.9666,-5.5616,-5.1082,-6.6466,-7.6746,-6.2256,,,
NM_012101,TRIM29,1767,-4.4732,-4.9726,-4.6611,-6.1072,-6.4419,-5.9511,,,
NM_001160389,TRPT1,768,-4.9660,-5.5295,-5.1445,-6.4550,-6.4959,-6.3130,,,
NM_001655,ARCN1,1536,-4.6694,-5.2660,-4.8492,-5.8847,-6.2858,-6.0119,,,
NM_005422,TECTA,6468,-3.9388,-4.4317,-4.1349,-5.4453,-5.9139,-5.3875,,,
NM_004308,ARHGAP1,1320,-4.6991,-5.2081,-4.8906,-6.3189,-6.3581,-6.0777,,,
NM_001004706,OR4D11,936,-4.9426,-5.4839,-5.1039,-6.6554,-7.9535,-6.2270,,,
NM_206893,MS4A10,804,-4.9337,-5.4274,-5.1362,-6.5033,-6.5648,-6.2931,,,
NM_017716,MS4A12,804,-4.9949,-5.5588,-5.1636,-6.6227,-6.6408,-6.2931,,,
NM_001012417,MS4A13,459,-5.2328,-5.8364,-5.4111,-6.4882,-6.7579,-6.5365,,,
NM_001098835,MS4A15,723,-4.9908,-5.4694,-5.1843,-6.9776,-6.8055,-6.3392,,,
NM_173556,CCDC83,1335,-4.8125,-5.4249,-4.9799,-6.1427,-6.3608,-6.0728,,,
NM_001204268,FXYD6-FXYD2,435,-5.2581,-5.7995,-5.4494,-7.0848,-6.5501,-6.5598,,,
NM_144972,LDHAL6A,999,-4.9162,-5.5207,-5.0722,-6.4407,-6.5681,-6.1987,,,
NM_001005163,OR52D1,957,-4.9419,-5.5326,-5.0949,-6.3868,-7.5910,-6.2174,,,
NM_032867,MICALCL,2088,-4.5800,-5.1279,-4.7582,-5.9495,-6.5814,-5.8786,,,
NM_013401,RAB3IL1,1149,-4.6827,-5.1946,-4.8774,-6.1229,-6.4678,-6.1380,,,
NM_020404,CD248,2274,-4.3984,-4.9001,-4.5760,-6.0827,NA,-5.8415,,,
NM_005969,NAP1L4,1128,-4.7906,-5.3318,-4.9911,-6.2104,-6.1541,-6.1460,,,
NM_015973,GAL,372,-5.0722,-5.5765,-5.2821,-6.5524,-6.5290,-6.6278,,,
NM_001145829,TNNI2,549,-4.9625,-5.4944,-5.1411,-6.5749,-6.7463,-6.4587,,,
NM_005013,NUCB2,1263,-4.8705,-5.4767,-5.0449,-6.2826,-6.2347,-6.0969,,,
NM_004357,CD151,762,-4.8848,-5.4097,-5.0769,-6.3286,-6.5552,-6.3164,,,
NM_024680,E2F8,2604,-4.4441,-4.9885,-4.6264,-5.8400,-6.2187,-5.7827,,,
NM_002696,POLR2G,519,-5.0863,-5.6513,-5.2714,-6.5515,-6.5031,-6.4831,,,
NM_021128,POLR2L,204,-5.3759,-5.8879,-5.5563,-7.1552,-7.3513,-6.8887,,,
NM_020693,DSCAML1,6342,-3.8958,-4.4047,-4.0788,-5.5412,-5.8451,-5.3961,,,
NM_001005218,OR5B21,930,-4.9552,-5.5054,-5.1128,-6.6632,-7.6610,-6.2298,,,
NM_012193,FZD4,1614,-4.6159,-5.1384,-4.7879,-6.2329,-7.3356,-5.9904,,,
NM_207374,OR10W1,918,-4.9626,-5.5071,-5.1230,-6.6557,-7.7906,-6.2355,,,
NM_032811,TBRG1,1236,-5.0759,-5.6420,-5.2499,-6.3242,NA,-6.1063,,,
NM_001005468,OR8B2,942,-4.9467,-5.5031,-5.0996,-6.7208,-7.9565,-6.2243,,,
NM_001005467,OR8B3,942,-4.9766,-5.5314,-5.1319,-6.6848,-7.9565,-6.2243,,,
NM_001005196,OR8B4,930,-4.9651,-5.5027,-5.1323,-6.5353,-7.7946,-6.2298,,,
NM_005528,DNAJC4,726,-4.8827,-5.4845,-5.0447,-6.2340,-6.6972,-6.3374,,,
NM_004811,LPXN,1161,-4.7999,-5.3705,-4.9699,-6.3007,-6.4454,-6.1335,,,
NM_001005285,OR2AT4,963,-4.9198,-5.4638,-5.0792,-6.6648,-7.6614,-6.2147,,,
NM_001142307,GTF2H1,1647,-4.6894,-5.2993,-4.8628,-6.0007,-6.1580,-5.9816,,,
NM_001029865,DBX1,1032,-4.7097,-5.1798,-4.9110,-6.3111,-6.9374,-6.1846,,,
NM_182603,ANKRD42,1170,-4.8319,-5.4117,-5.0085,-6.2028,-6.4001,-6.1301,,,
NM_000506,F2,1869,-4.4655,-5.0130,-4.6478,-5.8367,-6.2572,-5.9267,,,
NM_004788,UBE4A,3222,-4.3821,-5.0033,-4.5406,-5.7154,-6.0919,-5.6902,,,
NM_001081491,NXF1,1071,-4.7683,-5.3780,-4.9404,-6.0032,-6.4021,-6.1685,,,
NM_006819,STIP1,1632,-4.5905,-5.1508,-4.7847,-5.8220,-6.1768,-5.9856,,,
NM_001077263,TMPRSS13,1704,-4.5571,-5.0840,-4.7438,-6.0950,-6.2008,-5.9668,,,
NM_001185098,INS,333,-5.2743,-5.8191,-5.4598,-6.5766,-7.3345,-6.6759,,,
NM_001098169,BSX,702,-4.7911,-5.2503,-4.9938,-6.5137,-7.0521,-6.3520,,,
NM_006725,CD6,2007,-4.5545,-5.0320,-4.7596,-6.1383,-6.3327,-5.8958,,,
NM_182833,GDPD4,1563,-4.7209,-5.2967,-4.8961,-6.2164,-6.2003,-6.0044,,,
NM_015324,RRP8,1371,-4.6938,-5.3031,-4.8486,-6.0964,-6.5695,-6.0613,,,
NM_024514,CYP2R1,1506,-4.6826,-5.2290,-4.8643,-5.9997,-6.7507,-6.0205,,,
NM_018367,ACER3,804,-5.0686,-5.6839,-5.2537,-6.3465,-6.3746,-6.2931,,,
NM_001005213,OR9G1,918,-4.9229,-5.4248,-5.1019,-6.6309,-7.7157,-6.2355,,,
NM_000926,PGR,2802,-4.2948,-4.7429,-4.5071,-5.9138,-6.5205,-5.7508,,,
NM_014824,FCHSD2,2223,-4.5550,-5.1300,-4.7243,-5.8009,NA,-5.8514,,,
NM_001004458,OR1S1,978,-4.9369,-5.4607,-5.1068,-6.6275,-7.5726,-6.2080,,,
NM_001193471,FOLH1,2208,-4.6063,-5.2105,-4.7775,-5.9476,-6.1184,-5.8543,,,
NM_182710,KAT5,1641,-4.5127,-5.0564,-4.6937,-5.9962,-6.1840,-5.9832,,,
NM_001002035,DEFB108B,222,-5.5526,-6.1897,-5.6892,-7.3200,-7.3527,-6.8520,,,
NM_001005566,OR5B2,930,-4.9793,-5.5244,-5.1384,-6.7234,-7.7568,-6.2298,,,
NM_001040694,INCENP,2757,-4.3211,-4.8784,-4.4860,-5.9269,-6.1818,-5.7579,,,
NM_017589,BTG4,672,-5.0417,-5.6156,-5.2094,-6.5388,-6.7502,-6.3709,,,
NM_139160,DEPDC7,1509,-4.7454,-5.3375,-4.9246,-5.9524,-6.4608,-6.0196,,,
NM_020680,SCYL1,2427,-4.3886,-4.9096,-4.5728,-5.9917,-6.1104,-5.8132,,,
NM_001042376,INS-IGF2,603,-5.1256,-5.6076,-5.3311,-6.5472,-7.1473,-6.4180,,,
NM_001001965,OR4D5,957,-4.9160,-5.4657,-5.0779,-6.5031,-7.7053,-6.2174,,,
NM_001004708,OR4D6,945,-4.8894,-5.4331,-5.0537,-6.4762,-7.6548,-6.2229,,,
NM_001004471,OR10Q1,960,-4.7584,-5.2724,-4.9274,-6.6158,-7.6378,-6.2160,,,
NM_001004747,OR5T3,1023,-4.9659,-5.5226,-5.1236,-6.6037,-7.7650,-6.1884,,,
NM_005055,RAPSN,1239,-4.7494,-5.2575,-4.9321,-6.4212,-6.6827,-6.1052,,,
NM_019055,ROBO4,3024,-4.3248,-4.8739,-4.4978,-5.8473,-6.1260,-5.7177,,,
NM_148170,CTSC,414,-5.2145,-5.6938,-5.4182,-6.9106,-6.9585,-6.5813,,,
NM_003793,CTSF,1455,-4.7085,-5.2418,-4.8943,-6.2409,-6.3109,-6.0354,,,
NM_176822,NLRP14,3282,-4.4335,-4.9848,-4.6090,-5.8817,-6.2532,-5.6822,,,
NM_020886,USP28,3234,-4.3887,-4.9898,-4.5668,-5.6103,-5.9851,-5.6886,,,
NM_003251,THRSP,441,-5.1382,-5.6537,-5.3170,-6.7253,-7.6039,-6.5539,,,
NM_001004752,OR51F1,939,-4.9383,-5.5327,-5.0810,-6.6128,-7.5918,-6.2256,,,
NM_001004753,OR51F2,1029,-4.8977,-5.4698,-5.0586,-6.3120,-7.6422,-6.1859,,,
NM_007037,ADAMTS8,2670,-4.3914,-4.8841,-4.5842,-5.9347,-6.5050,-5.7718,,,
NM_001130142,VWA5A,2361,-4.5098,-5.0626,-4.6869,-6.0545,-6.0879,-5.8252,,,
NM_001166,BIRC2,1857,-4.6670,-5.2544,-4.8344,-6.0020,-6.5093,-5.9295,,,
NM_015065,EXPH5,5970,-4.1630,-4.7115,-4.3361,-5.5356,-6.6472,-5.4223,,,
NM_002572,PAFAH1B2,690,-4.9958,-5.5040,-5.2041,-6.2898,-6.7451,-6.3595,,,
NM_001256627,BRSK2,2211,-4.3833,-4.8838,-4.5696,-6.1955,-6.1378,-5.8537,,,
NM_004397,DDX6,1452,-4.7426,-5.3366,-4.9025,-6.0222,NA,-6.0363,,,
NM_013250,ZNF215,1554,-4.7335,-5.3677,-4.8962,-5.8908,-6.7479,-6.0069,,,
NM_013249,ZNF214,1821,-4.6867,-5.3119,-4.8350,-5.9953,-7.3614,-5.9380,,,
NM_178498,SLC5A12,1857,-4.6275,-5.1952,-4.8114,-5.9498,-6.2056,-5.9295,,,
NM_001144058,NTM,1068,-4.7349,-5.2277,-4.9272,-6.4263,-6.5670,-6.1697,,,
NM_006391,IPO7,3117,-4.4283,-5.0330,-4.5979,-5.7601,-5.9831,-5.7046,,,
NM_172230,SYVN1,1854,-4.5316,-5.1163,-4.6911,-6.1306,-6.2038,-5.9302,,,
NM_178443,FERMT3,2004,-4.4010,-4.9318,-4.5815,-5.9045,-6.2609,-5.8964,,,
NM_013402,FADS1,1506,-4.7342,-5.2946,-4.9123,-6.1788,-6.3304,-6.0205,,,
NM_021727,FADS3,1338,-4.7275,-5.2062,-4.9348,-6.3482,-6.3738,-6.0719,,,
NM_004265,FADS2,1335,-4.6324,-5.1280,-4.8349,-6.2252,-6.2092,-6.0728,,,
NM_001160167,PRR5L,1107,-4.7120,-5.2315,-4.8954,-6.3116,-6.5060,-6.1542,,,
NM_001145308,LRTOMT,876,-6.4065,-7.1437,-6.5593,-7.7174,-7.5973,-6.2558,,,
NM_138787,C11orf74,666,-5.1395,-5.7258,-5.3063,-6.6299,-6.7526,-6.3748,,,
NM_014786,ARHGEF17,6192,-3.9544,-4.4750,-4.1343,-5.4858,-6.0582,-5.4065,,,
NM_002645,PIK3C2A,5061,-4.2213,-4.8183,-4.3969,-5.4670,-5.8690,-5.4941,,,
NM_001134775,KLC2,1869,-4.4519,-5.0102,-4.6241,-6.0421,-6.0580,-5.9267,,,
NM_016565,CHCHD8,264,-5.3540,-5.9017,-5.5288,-6.7651,-7.6420,-6.7767,,,
NM_001004730,OR5AR1,933,-4.9532,-5.5389,-5.1015,-6.5406,-7.6669,-6.2284,,,
NM_020802,KIAA1377,3354,-4.4095,-4.9931,-4.5778,-5.7220,-6.3634,-5.6727,,,
NM_000890,KCNJ5,1260,-4.6778,-5.2300,-4.8396,-6.2391,-7.3449,-6.0979,,,
NM_080668,CDCA5,759,-4.8621,-5.3884,-5.0406,-6.5378,-6.6496,-6.3181,,,
NM_001013743,TMEM225,678,-5.0564,-5.6299,-5.2202,-6.5870,-6.8729,-6.3671,,,
NM_000327,ROM1,1056,-4.7742,-5.2817,-4.9610,-6.2672,-7.0524,-6.1746,,,
NM_003390,WEE1,1941,-4.7433,-5.3452,-4.9161,-5.9839,-6.4465,-5.9103,,,
NM_178537,B4GALNT4,3120,-4.2694,-4.7492,-4.4726,-5.8619,-6.0526,-5.7042,,,
NM_001198844,RBM4,522,-5.1626,-5.7098,-5.3274,-6.7095,-7.5860,-6.4806,,,
NM_001004751,OR51D1,975,-4.9257,-5.4771,-5.0866,-6.5197,-7.7213,-6.2093,,,
NM_001752,CAT,1584,-4.6078,-5.1899,-4.7696,-6.1791,-6.2735,-5.9986,,,
NM_004549,NDUFC2,360,-5.1960,-5.7978,-5.3357,-7.1058,-7.1980,-6.6420,,,
NM_001004742,OR5M3,924,-4.9293,-5.5199,-5.0843,-6.3121,-7.9559,-6.2326,,,
NM_020642,AKIP1,633,-4.9958,-5.5426,-5.1702,-6.5577,-6.7617,-6.3969,,,
NM_001203260,NDUFC2-KCTD14,405,-5.2487,-5.8303,-5.3926,-7.1705,-7.3457,-6.5909,,,
NM_006645,STARD10,876,-4.7229,-5.2015,-4.9277,-6.3323,-6.4606,-6.2558,,,
NM_001541,HSPB2,549,-4.9739,-5.5194,-5.1526,-6.3057,-7.3707,-6.4587,,,
NM_016724,FOLR1,774,-4.9632,-5.5472,-5.1385,-6.2085,-6.8574,-6.3096,,,
NM_005590,MRE11A,2043,-4.5843,-5.2115,-4.7485,-5.8882,-6.1283,-5.8880,,,
NM_014333,CADM1,1329,-4.6987,-5.1992,-4.8963,-6.3199,-6.3073,-6.0748,,,
NM_152715,TBCEL,1275,-4.7729,-5.3460,-4.9488,-6.0844,-6.5760,-6.0928,,,
NM_001012503,KRTAP5-7,498,-5.1878,-5.6933,-5.3721,-6.7552,-7.6176,-6.5011,,,
NM_003697,OR5F1,945,-4.9022,-5.3905,-5.0856,-6.6822,-7.8911,-6.2229,,,
NM_005238,ETS1,1326,-4.6719,-5.2104,-4.8528,-6.1210,-6.5074,-6.0758,,,
NM_207340,ZDHHC24,855,-4.8245,-5.3341,-5.0091,-6.4768,-6.7035,-6.2663,,,
NM_000741,CHRM4,1440,-4.5358,-5.0466,-4.7102,-6.2007,NA,-6.0400,,,
NM_000738,CHRM1,1383,-4.6169,-5.1878,-4.7710,-6.1677,-7.5925,-6.0575,,,
NM_002424,MMP8,1404,-4.7518,-5.3242,-4.9311,-6.1467,-6.2868,-6.0509,,,
NM_002422,MMP3,1434,-4.7429,-5.2983,-4.9214,-6.1916,-6.3976,-6.0418,,,
NM_002421,MMP1,1410,-4.7344,-5.3088,-4.9043,-6.1926,-6.3984,-6.0491,,,
NM_153206,AMICA1,1155,-4.7819,-5.3570,-4.9467,-6.3465,-6.4495,-6.1357,,,
NM_005898,CAPRIN1,2130,-4.4944,-5.0638,-4.6749,-5.8277,-6.1229,-5.8699,,,
NM_001039618,CREBZF,1065,-4.5474,-4.9852,-4.7575,-6.3050,-7.8619,-6.1710,,,
NM_005188,CBL,2721,-4.4307,-4.9995,-4.6109,-5.7147,-6.1949,-5.7636,,,
NM_020798,USP35,3057,-4.3326,-4.8466,-4.5087,-6.0694,-6.3981,-5.7130,,,
NM_032251,CCDC88B,4431,-4.1897,-4.7405,-4.3649,-5.6188,-6.0749,-5.5518,,,
NM_003621,PPFIBP2,2631,-4.4338,-5.0042,-4.6155,-5.7667,-6.0197,-5.7782,,,
NM_138421,SAAL1,1425,-4.7320,-5.2950,-4.9092,-6.1954,-6.3090,-6.0445,,,
NM_030792,GDPD5,1818,-4.4695,-4.9840,-4.6550,-6.0827,-6.2422,-5.9387,,,
NM_020974,SCUBE2,2916,-4.3797,-4.9318,-4.5623,-5.7628,-6.0637,-5.7335,,,
NM_002689,POLA2,1797,-4.5637,-5.0748,-4.7761,-5.8654,-6.1147,-5.9438,,,
NM_001005178,OR52W1,963,-4.9186,-5.4711,-5.0834,-6.4155,-7.5189,-6.2147,,,
NM_001002925,OR5AP2,951,-4.9502,-5.5015,-5.1120,-6.5375,-7.6084,-6.2201,,,
NM_001076786,QSER1,5208,-4.2380,-4.8122,-4.4062,-5.5712,-6.3535,-5.4816,,,
NM_006848,CCDC85B,609,-5.3183,-5.8015,-5.5040,-7.2353,-7.7532,-6.4137,,,
NM_001220494,GLYATL1,909,-4.9407,-5.5505,-5.1116,-6.1334,-6.8031,-6.2397,,,
NM_001018070,CORO1B,1470,-4.5163,-5.0314,-4.6976,-6.1447,-6.4485,-6.0310,,,
NM_014026,DCPS,1014,-4.7155,-5.2181,-4.9059,-6.2726,-6.6391,-6.1923,,,
NM_178864,NPAS4,2409,-4.4450,-4.9652,-4.6249,-5.9984,-6.4961,-5.8165,,,
NM_001997,FAU,402,-5.1120,-5.6621,-5.2769,-6.9391,-6.8669,-6.5941,,,
NM_001025237,TSPAN4,717,-4.7999,-5.2326,-5.0319,-6.5349,-6.4029,-6.3428,,,
NM_005125,CCS,825,-4.8222,-5.3666,-5.0072,-6.3032,-6.3863,-6.2819,,,
NM_014039,C11orf54,798,-5.0441,-5.6487,-5.2132,-6.4061,-6.5785,-6.2963,,,
NM_001167681,FLI1,1260,-4.6614,-5.1522,-4.8513,-6.1830,NA,-6.0979,,,
NM_002180,IGHMBP2,2982,-4.2616,-4.7622,-4.4552,-5.7788,-6.1455,-5.7238,,,
NM_023930,KCTD14,768,-4.8703,-5.4053,-5.0372,-6.5226,-7.3531,-6.3130,,,
NM_002411,SCGB2A2,282,-5.4333,-5.9330,-5.6343,-7.0186,-7.0450,-6.7481,,,
NM_138294,PATE1,381,-5.3983,-6.0059,-5.5699,-6.9317,-6.7422,-6.6174,,,
NM_198439,KBTBD3,1839,-4.6833,-5.2513,-4.8541,-5.9690,-7.3453,-5.9337,,,
NM_012239,SIRT3,1200,-4.7589,-5.2680,-4.9439,-6.4602,-6.5604,-6.1191,,,
NM_005507,CFL1,501,-5.0775,-5.5641,-5.2704,-6.8422,-6.9627,-6.4985,,,
NM_001004760,OR51V1,966,-4.9343,-5.5288,-5.0850,-6.3850,-7.6174,-6.2133,,,
NM_001004725,OR4S1,930,-4.9300,-5.4905,-5.0809,-6.7884,-7.5187,-6.2298,,,
NM_001004059,OR4S2,936,-4.9546,-5.5336,-5.1026,-6.6277,-7.7961,-6.2270,,,
NM_005117,FGF19,651,-5.0917,-5.5894,-5.2807,-6.6848,-7.2103,-6.3847,,,
NM_001033,RRM1,2379,-4.5140,-5.1141,-4.6852,-5.8233,-6.1160,-5.8219,,,
NM_033390,ZC3H12C,2652,-4.4251,-4.9721,-4.6010,-5.7351,NA,-5.7747,,,
NM_199292,TH,1587,-4.5115,-4.9865,-4.7135,-6.1678,-6.3556,-5.9977,,,
NM_175733,SYT9,1476,-4.6769,-5.2118,-4.8648,-6.0099,-6.6139,-6.0292,,,
NM_000525,KCNJ11,1173,-4.6286,-5.1634,-4.7874,-6.5218,-7.6591,-6.1290,,,
NM_015959,TMX2,891,-4.8283,-5.3900,-5.0067,-6.2251,-6.5050,-6.2484,,,
NM_001005181,OR56B4,960,-4.9685,-5.5142,-5.1298,-6.6181,-7.7236,-6.2160,,,
NM_031909,C1QTNF4,990,-4.6674,-5.0979,-4.8783,-6.5658,-7.7050,-6.2027,,,
NM_001005180,OR56B1,975,-4.9823,-5.5500,-5.1372,-6.5678,-7.7907,-6.2093,,,
NM_001256236,PGAP2,1119,-4.7390,-5.2589,-4.9190,-6.3582,-6.6496,-6.1495,,,
NM_002855,PVRL1,1554,-4.4883,-4.9959,-4.6715,-6.1407,-6.4679,-6.0069,,,
NM_001005323,OR5AK2,930,-4.9861,-5.5663,-5.1404,-6.4677,-7.7146,-6.2298,,,
NM_024806,C11orf63,2337,-4.4737,-5.0009,-4.6591,-5.8655,-6.5158,-5.8297,,,
NM_024099,C11orf48,792,-4.9846,-5.4984,-5.1765,-6.5178,-6.6920,-6.2996,,,
NM_001003676,C11orf49,825,-4.8550,-5.3753,-5.0567,-6.1895,-6.5053,-6.2819,,,
NM_012194,C11orf41,5550,-4.0779,-4.5779,-4.2604,-5.6565,-7.5864,-5.4540,,,
NM_020346,SLC17A6,1749,-4.5918,-5.1314,-4.7713,-6.1177,-6.3078,-5.9555,,,
NM_152316,C11orf46,783,-5.0441,-5.6630,-5.1902,-6.5238,-7.0567,-6.3046,,,
NM_005468,NAALADL1,2223,-4.4207,-4.9347,-4.6078,-6.0295,-6.1469,-5.8514,,,
NM_012456,TIMM10,273,-5.4076,-5.9791,-5.5831,-6.7405,-7.3521,-6.7622,,,
NM_001012393,OPCML,1017,-4.7677,-5.2867,-4.9532,-6.3684,-6.4989,-6.1910,,,
NM_005438,FOSL1,816,-4.9331,-5.5282,-5.0942,-6.2775,-6.9782,-6.2866,,,
NM_032015,RNF26,1302,-4.6707,-5.2267,-4.8314,-6.1992,-7.7444,-6.0837,,,
NM_001242932,LSP1,1404,-4.8516,-5.3421,-5.0564,-6.4078,-6.4788,-6.0509,,,
NM_001005275,OR4A15,1035,-4.9117,-5.4929,-5.0767,-6.2084,-7.7930,-6.1834,,,
NM_015012,TMEM41B,876,-4.9275,-5.4619,-5.1132,-6.4178,-6.5813,-6.2558,,,
NM_002478,MYOD1,963,-4.5129,-4.9457,-4.7206,-6.6228,-7.0730,-6.2147,,,
NM_001164277,SLC37A4,1290,-4.7577,-5.3038,-4.9280,-6.1932,-7.4223,-6.0891,,,
NM_153451,ORAOV1,414,-5.2145,-5.7225,-5.4154,-6.7811,-6.7376,-6.5813,,,
NM_152718,VWCE,2868,-4.3487,-4.8598,-4.5467,-5.7414,-6.1160,-5.7407,,,
NM_130385,MRVI1,2739,-4.3979,-4.9241,-4.5718,-5.9021,-7.6983,-5.7607,,,
NM_001178083,EXT2,2187,-4.4771,-5.0455,-4.6486,-5.8837,-6.2661,-5.8585,,,
NM_002804,PSMC3,1320,-4.7159,-5.2480,-4.8993,-6.2778,-6.3669,-6.0777,,,
NM_002033,FUT4,1593,-4.4988,-4.9713,-4.6932,-6.1425,-7.7577,-5.9961,,,
NM_002556,OSBP,2424,-4.5028,-5.0940,-4.6827,-5.7537,-6.0859,-5.8138,,,
NM_017857,SSH3,1980,-4.4681,-5.0234,-4.6446,-5.8801,-6.2556,-5.9016,,,
NM_001242854,ARFIP2,1125,-4.8027,-5.3696,-4.9785,-6.1535,-6.5956,-6.1472,,,
NM_001142537,LGALS12,828,-4.9166,-5.4968,-5.0834,-6.4594,-6.5050,-6.2803,,,
NM_001931,DLAT,1944,-4.5370,-5.1057,-4.7061,-6.0249,-6.2451,-5.9096,,,
NM_001004474,OR10S1,996,-4.8372,-5.3970,-4.9926,-6.5010,-7.6050,-6.2001,,,
NM_152431,PIWIL4,2559,-4.4555,-5.0287,-4.6274,-5.9094,-6.0779,-5.7902,,,
NM_001008778,SPDYC,882,-4.8552,-5.4627,-5.0103,-6.3401,-6.5665,-6.2528,,,
